Use,Title,URL
AI infra categories,McKinsey - infrastructure that powers and cools AI data centers,https://www.mckinsey.com/industries/industrials/our-insights/beyond-compute-infrastructure-that-powers-and-cools-ai-data-centers
AI data-center buildout,McKinsey - issue brief AI infrastructure,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/issue-brief-ai-infrastructure
Optics exclusion,Reuters - Corning partners with Nvidia,https://www.reuters.com/business/media-telecom/corning-partners-with-nvidia-expand-us-fiber-optic-output-ai-growth-2026-05-06/
Cooling exclusion,Reuters - Johnson Controls data-center cooling demand,https://www.reuters.com/business/johnson-controls-raises-annual-profit-forecast-data-center-cooling-demand-2026-05-06/
Power semiconductor exclusion,Reuters - Infineon AI data-center power demand,https://www.reuters.com/business/infineon-lifts-2026-outlook-ai-demand-boosts-growth-prospects-2026-05-06/
Power/cooling exclusion,Reuters - Schneider data-center demand,https://www.reuters.com/business/schneider-beats-profit-expectations-data-center-demand-offsets-weak-dollar-2026-02-26/
Liquid cooling market signal,Reuters - Ecolab to acquire CoolIT,https://www.reuters.com/business/ecolab-acquire-coolit-systems-475-billion-2026-03-20/
Candidate capability example,Badger Meter official,https://www.badgermeter.com/
Candidate capability example,Graco official fluid handling,https://www.graco.com/us/en/about-graco.html
Candidate capability example,PWR official thermal management,https://www.pwr.com.au/
Candidate capability example,KSB official pumps/valves,https://www.ksb.com/en-global
Candidate capability example,LEM official current measurement,https://www.lem.com/en
