bundle,source_ticker,source_name,target_ticker,target_name,relationship_type,layer_or_item,evidence,strength,cash_flow,source_ids,source_urls,note
CPO full bundle,NVDA,NVIDIA,COHR,Coherent,uses / buys from / depends on,advanced laser and optical networking products,specific public,1.0,NVIDIA -> Coherent: $2B equity investment plus multibillion-dollar purchase commitment and future access/capacity rights.,S04,https://nvidianews.nvidia.com/news/nvidia-and-coherent-announce-strategic-partnership-to-develop-optics-technology-to-scale-next-generation-data-center-architecture,"NVIDIA -> Coherent: uses / buys from / depends on for advanced laser and optical networking products. Cash-flow read: NVIDIA -> Coherent: $2B equity investment plus multibillion-dollar purchase commitment and future access/capacity rights. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Photonics/optical components' has alpha 76/100 and CPO exposure 5/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,NVDA,NVIDIA,LITE,Lumentum,uses / buys from / depends on,advanced laser components for next-gen AI optics,specific public,1.0,NVIDIA -> Lumentum: $2B equity investment plus multibillion purchase commitment and future capacity access rights.,S03,https://nvidianews.nvidia.com/news/nvidia-announces-strategic-partnership-with-lumentum-to-develop-state-of-the-art-optics-technology,"NVIDIA -> Lumentum: uses / buys from / depends on for advanced laser components for next-gen AI optics. Cash-flow read: NVIDIA -> Lumentum: $2B equity investment plus multibillion purchase commitment and future capacity access rights. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Photonics/optical components' has alpha 77/100 and CPO exposure 5/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,NVDA,NVIDIA,TSM / 2330.TW,TSMC,uses / buys from / depends on,silicon photonics manufacturing and TSMC-SoIC 3D stacking collaboration,specific public,0.9,NVIDIA -> TSMC ecosystem: manufacturing/package spend; precise pairwise CPO dollars undisclosed.,S01,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/,"NVIDIA -> TSMC: uses / buys from / depends on for silicon photonics manufacturing and TSMC-SoIC 3D stacking collaboration. Cash-flow read: NVIDIA -> TSMC ecosystem: manufacturing/package spend; precise pairwise CPO dollars undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Foundry' has alpha 61/100 and CPO exposure 4/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,ALAB,Astera Labs,AMD,Advanced Micro Devices,uses / buys from / depends on,PCIe 6 ecosystem support for EPYC/Instinct platforms,specific public ecosystem,0.8,Customer/platform ecosystem; exact dollar flow undisclosed.,S06,https://www.globenewswire.com/news-release/2025/05/01/3072869/0/en/Astera-Labs-Ramps-Production-of-PCIe-6-Connectivity-Portfolio-Supercharging-Advanced-AI-and-Cloud-Infrastructure-Deployments.html,"Astera Labs -> Advanced Micro Devices: uses / buys from / depends on for PCIe 6 ecosystem support for EPYC/Instinct platforms. Cash-flow read: Customer/platform ecosystem; exact dollar flow undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'AI accelerator/platform' has alpha 50/100 and CPO exposure 3/5. Source role 'Connectivity/retimers/AEC' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,ALAB,Astera Labs,MU,Micron Technology,uses / buys from / depends on,PCIe 6 SSD and memory/storage interoperability,specific public ecosystem,0.8,Ecosystem validation; exact dollar flow undisclosed.,S06,https://www.globenewswire.com/news-release/2025/05/01/3072869/0/en/Astera-Labs-Ramps-Production-of-PCIe-6-Connectivity-Portfolio-Supercharging-Advanced-AI-and-Cloud-Infrastructure-Deployments.html,"Astera Labs -> Micron Technology: uses / buys from / depends on for PCIe 6 SSD and memory/storage interoperability. Cash-flow read: Ecosystem validation; exact dollar flow undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Memory' has alpha 51/100 and CPO exposure 2/5. Source role 'Connectivity/retimers/AEC' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,ALAB,Astera Labs,005930.KS,Samsung Electronics,uses / buys from / depends on,PCIe 6 SSD/storage interoperability,specific public ecosystem,0.8,Ecosystem validation; exact dollar flow undisclosed.,S06,https://www.globenewswire.com/news-release/2025/05/01/3072869/0/en/Astera-Labs-Ramps-Production-of-PCIe-6-Connectivity-Portfolio-Supercharging-Advanced-AI-and-Cloud-Infrastructure-Deployments.html,"Astera Labs -> Samsung Electronics: uses / buys from / depends on for PCIe 6 SSD/storage interoperability. Cash-flow read: Ecosystem validation; exact dollar flow undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Memory/foundry' has alpha 49/100 and CPO exposure 3/5. Source role 'Connectivity/retimers/AEC' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,AVGO,Broadcom,AMKR,Amkor Technology,uses / buys from / depends on,OSAT process and scalable CPO manufacturing ecosystem,specific public CPO production theme,0.8,Broadcom -> OSAT partners: assembly/test spend; exact partner dollars undisclosed.,S02,https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo,"Broadcom -> Amkor Technology: uses / buys from / depends on for OSAT process and scalable CPO manufacturing ecosystem. Cash-flow read: Broadcom -> OSAT partners: assembly/test spend; exact partner dollars undisclosed. Evidence/disclosure: Public value-chain; Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.. Target company role 'OSAT/Packaging' has alpha 65/100 and CPO exposure 3/5. Source role 'Switch ASIC/networking' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,NVDA,NVIDIA,ASX / 3711.TW,ASE Technology,uses / buys from / depends on,SPIL/ASE packaging and test ecosystem for photonics,specific public ecosystem,0.8,NVIDIA ecosystem -> ASE/SPIL: advanced packaging/test spend; exact dollars undisclosed.,S01,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/,"NVIDIA -> ASE Technology: uses / buys from / depends on for SPIL/ASE packaging and test ecosystem for photonics. Cash-flow read: NVIDIA ecosystem -> ASE/SPIL: advanced packaging/test spend; exact dollars undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'OSAT/Packaging' has alpha 50/100 and CPO exposure 3/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,NVDA,NVIDIA,MRVL,Marvell Technology,uses / buys from / depends on,NVLink Fusion/custom networking ecosystem adjacency,public ecosystem,0.8,NVIDIA/Marvell ecosystem collaboration; disclosed investment reports separate; pairwise product dollars not fully disclosed.,S01; S07,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/; https://jp.marvell.com/company/newsroom/marvell-co-packaged-optics-architecture-custom-ai-accelerators.html,"NVIDIA -> Marvell Technology: uses / buys from / depends on for NVLink Fusion/custom networking ecosystem adjacency. Cash-flow read: NVIDIA/Marvell ecosystem collaboration; disclosed investment reports separate; pairwise product dollars not fully disclosed. Evidence/disclosure: Public ecosystem; Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.. Target company role 'Optical DSP/custom silicon' has alpha 63/100 and CPO exposure 5/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,POET,POET Technologies,2301.TW,LITEON Technology,uses / buys from / depends on,joint development of optical modules for AI/CPO applications,specific public,0.8,POET + LITEON: joint development; prototypes targeted late 2026 and high-volume production anticipated 2027; exact revenue split undisclosed.,S10,https://www.poet-technologies.com/news/poet-technologies-and-liteon-announce-joint-development-of-optical-modules-for-ai-applications,"POET Technologies -> LITEON Technology: uses / buys from / depends on for joint development of optical modules for AI/CPO applications. Cash-flow read: POET + LITEON: joint development; prototypes targeted late 2026 and high-volume production anticipated 2027; exact revenue split undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Optoelectronic modules' has alpha 45/100 and CPO exposure 4/5. Source role 'Photonics/optical engines' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
