source,source_name,target,target_name,relationship,use,cash_flow,amount,evidence,confidence
NVDA,NVIDIA,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,NVDA pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,NVDA pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,NVDA pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,NVDA pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,NVDA pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",NVDA pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",NVDA pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",NVDA pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",NVDA pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",NVDA pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
NVDA,NVIDIA,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
NVDA,NVIDIA,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
NVDA,NVIDIA,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
NVDA,NVIDIA,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
NVDA,NVIDIA,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
NVDA,NVIDIA,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
NVDA,NVIDIA,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
NVDA,NVIDIA,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AMD,Advanced Micro Devices,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AMD pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AMD pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AMD pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AMD pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AMD pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AMD pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AMD pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AMD pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AMD pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AMD pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AMD,Advanced Micro Devices,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
AMD,Advanced Micro Devices,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
AMD,Advanced Micro Devices,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
AMD,Advanced Micro Devices,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AMD,Advanced Micro Devices,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AMD,Advanced Micro Devices,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AMD,Advanced Micro Devices,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AMD,Advanced Micro Devices,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
