company,ticker_display,yf_symbol,country,category,confidence,evidence,x_signal,position,risk,hormuz,ai_sensitivity,thesis,bear,drop,30d,90d,120d,180d,evidence_titles,evidence_urls,confidence_note,price,ret_90,vol_90,market_cap,category_label
NVIDIA,NVDA,NVDA,United States,compute_silicon,A,"['z_cpo', 'j_huawei_nvidia', 'j_hbm4']","Central name in both accounts' AI infra discussion; direct tie to Rubin, HBM4, and Chinese training-workload substitution.",dominant AI accelerator vendor,7,3,10,"NVIDIA is a dominant AI accelerator vendor. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and central name in both accounts' ai infra discussion; direct tie to rubin, hbm4, and chinese training-workload substitution.","Bear case: NVIDIA gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Bullish,Bullish,Moderately bullish,Moderately bullish,"Zephyr on Rubin CPX, prefill, caching, and CPO risk; Jukan on DeepSeek, Huawei, and Nvidia training workloads; Jukan on Samsung's HBM4 push versus SK hynix",https://x.com/zephyr_z9/status/2022756480374509644; https://x.com/jukan05/status/2012360246128431428; https://x.com/jukan05/status/2035294342961823782,Direct in-range mention or direct quote-tweet recovery.,183.66000366210938,-0.028819189522776956,0.3671301810074672,4463856713728.0,Compute Silicon
Micron,MU,MU,United States,memory,A,"['z_nand', 'z_memory_contracts', 'j_memory_forecast']",Zephyr explicitly used MU as the public memory expression in the Q2 2026 contract-pricing debate.,HBM and DRAM challenger with pricing leverage,6,4,9,"Micron is a HBM and DRAM challenger with pricing leverage. The X thesis is that it benefits from HBM/DRAM tightness, higher blended ASPs, and hyperscaler willingness to sign LTAs, and zephyr explicitly used mu as the public memory expression in the q2 2026 contract-pricing debate.","Bear case: Micron suffers if the pricing spike reverses, qualification slips, or HBM supply normalizes faster than expected. That matters because the current buildout has pulled forward a lot of expectations.",Drop thesis trigger: sell or de-risk if a sharp turn lower in contract pricing or a credible roadmap miss in HBM4/HBM5.,Bullish,Bullish,Moderately bullish,Moderately bullish,"Zephyr on SIMO, Phison, NAND pricing, and customer exposure; Zephyr on spot memory versus hyperscaler/OEM contract pricing; Jukan on TrendForce's higher DRAM and NAND price forecasts",https://x.com/zephyr_z9/status/2024157861027405978; https://x.com/zephyr_z9/status/2038020529266078104; https://x.com/jukan05/status/2037769643629396194,Direct in-range mention or direct quote-tweet recovery.,413.0050048828125,0.21633049545161787,0.7092890676286976,465641373696.0,Memory
Silicon Motion,SIMO,SIMO,Taiwan / US listing,controller_storage,A,['z_nand'],Zephyr called SIMO one of the cleaner NAND exposures thanks to the merchant-controller angle.,merchant NAND-controller duopoly exposure,7,5,7,"Silicon Motion is a merchant NAND-controller duopoly exposure. The X thesis is that it wins when NAND prices and enterprise SSD demand re-rate and merchant-controller leverage matters again, and zephyr called simo one of the cleaner nand exposures thanks to the merchant-controller angle.",Bear case: Silicon Motion rolls over if OEM inventories stay heavy or NAND price momentum fades. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if an inventory reset plus weakening controller attach or customer concentration shocks.,Bullish,Bullish,Moderately bullish,Neutral,"Zephyr on SIMO, Phison, NAND pricing, and customer exposure",https://x.com/zephyr_z9/status/2024157861027405978,Direct in-range mention or direct quote-tweet recovery.,127.20999908447266,0.05019402269393791,0.5426043376089764,4323062784.0,Controller Storage
Western Digital,WDC,WDC,United States,controller_storage,A,"['z_nand', 'j_memory_forecast']",Named in Zephyr's NAND-controller thread as part of the beneficiary/customer map.,NAND and enterprise-storage beneficiary,7,5,6,"Western Digital is a NAND and enterprise-storage beneficiary. The X thesis is that it wins when NAND prices and enterprise SSD demand re-rate and merchant-controller leverage matters again, and named in zephyr's nand-controller thread as part of the beneficiary/customer map.",Bear case: Western Digital rolls over if OEM inventories stay heavy or NAND price momentum fades. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if an inventory reset plus weakening controller attach or customer concentration shocks.,Bullish,Bullish,Moderately bullish,Neutral,"Zephyr on SIMO, Phison, NAND pricing, and customer exposure; Jukan on TrendForce's higher DRAM and NAND price forecasts",https://x.com/zephyr_z9/status/2024157861027405978; https://x.com/jukan05/status/2037769643629396194,Direct in-range mention or direct quote-tweet recovery.,337.4150085449219,0.6880878542240614,0.8187309042298959,115361955840.0,Controller Storage
Apple,AAPL,AAPL,United States,compute_silicon,A,['z_apple_bus'],Zephyr used Apple as a system-design example for achieving higher bandwidth with bus-width choices.,edge/custom-silicon design leader,4,4,5,"Apple is a edge/custom-silicon design leader. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and zephyr used apple as a system-design example for achieving higher bandwidth with bus-width choices.","Bear case: Apple gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr on Apple's wider memory-bus design choices,https://x.com/zephyr_z9/status/2030584064029997133,Direct in-range mention or direct quote-tweet recovery.,260.125,-0.0007874105283246502,0.2504368770764836,3823371550720.0,Compute Silicon
Alphabet,GOOGL,GOOGL,United States,hyperscaler,A,"['j_samsung_lta', 'j_samsung_lta_quote']",Jukan explicitly named Google in Samsung's proposed long-term memory lock-ins.,TPU and hyperscaler capex platform,4,2,8,"Alphabet is a TPU and hyperscaler capex platform. The X thesis is that it wins if AI capex converts into better model economics, enterprise monetization, and higher utilization, and jukan explicitly named google in samsung's proposed long-term memory lock-ins.",Bear case: Alphabet trades poorly if spending outruns monetization or regulators/geopolitics impede deployment. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if evidence that AI monetization cannot support the capex intensity.,Neutral,Moderately bullish,Moderately bullish,Bullish,Jukan on Samsung memory LTAs with Google and Microsoft; Jukan follow-up on upfront memory prepayments,https://x.com/jukan05/status/2034824046987419851; https://x.com/jukan05/status/2034824813160931672,Direct in-range mention or direct quote-tweet recovery.,319.39990234375,-0.008013257203993596,0.2752636655188341,3863449174016.0,Hyperscaler
Microsoft,MSFT,MSFT,United States,hyperscaler,A,"['j_samsung_lta', 'j_samsung_lta_quote']",Jukan explicitly named Microsoft in Samsung's proposed long-term memory lock-ins.,Azure / enterprise AI distribution leader,4,2,8,"Microsoft is a Azure / enterprise AI distribution leader. The X thesis is that it wins if AI capex converts into better model economics, enterprise monetization, and higher utilization, and jukan explicitly named microsoft in samsung's proposed long-term memory lock-ins.",Bear case: Microsoft trades poorly if spending outruns monetization or regulators/geopolitics impede deployment. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if evidence that AI monetization cannot support the capex intensity.,Neutral,Moderately bullish,Moderately bullish,Bullish,Jukan on Samsung memory LTAs with Google and Microsoft; Jukan follow-up on upfront memory prepayments,https://x.com/jukan05/status/2034824046987419851; https://x.com/jukan05/status/2034824813160931672,Direct in-range mention or direct quote-tweet recovery.,372.3699951171875,-0.2297971039009692,0.3215787122183025,2767594455040.0,Hyperscaler
Amazon,AMZN,AMZN,United States,hyperscaler,A,"['j_huawei_nvidia', 'j_custom_asic_quote']",Jukan discussed Amazon through Trainium/OpenAI and the broader custom-ASIC stack.,AWS custom-silicon and hyperscaler capex leader,5,2,8,"Amazon is a AWS custom-silicon and hyperscaler capex leader. The X thesis is that it wins if AI capex converts into better model economics, enterprise monetization, and higher utilization, and jukan discussed amazon through trainium/openai and the broader custom-asic stack.",Bear case: Amazon trades poorly if spending outruns monetization or regulators/geopolitics impede deployment. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if evidence that AI monetization cannot support the capex intensity.,Neutral,Moderately bullish,Moderately bullish,Bullish,"Jukan on DeepSeek, Huawei, and Nvidia training workloads; Public quote of Jukan's custom ASIC / TPU thread",https://x.com/jukan05/status/2012360246128431428; https://x.com/muhzuhair/status/2032484686228361482,Direct in-range mention or direct quote-tweet recovery.,231.17990112304688,-0.04297109016582534,0.322527983580252,2481591681024.0,Hyperscaler
Applied Materials,AMAT,AMAT,United States,equipment,A,['j_hbm5_bonding'],Jukan explicitly named AMAT as a likely tool supplier in SK hynix's HBM5 hybrid-bonding path.,hybrid-bonding and wafer-fab equipment supplier,5,4,8,"Applied Materials is a hybrid-bonding and wafer-fab equipment supplier. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and jukan explicitly named amat as a likely tool supplier in sk hynix's hbm5 hybrid-bonding path.",Bear case: Applied Materials loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on SK hynix using BESI and AMAT for HBM5 hybrid bonding,https://x.com/jukan05/status/2041002619553149384,Direct in-range mention or direct quote-tweet recovery.,396.6199951171875,0.35735790057452843,0.5635645647910833,314761543680.0,Equipment
Onto Innovation,ONTO,ONTO,United States,equipment,A,['j_onto'],Jukan explicitly said Samsung was validating Onto's hybrid-bonding inspection tools.,inspection and metrology specialist for advanced packaging,6,4,8,"Onto Innovation is a inspection and metrology specialist for advanced packaging. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and jukan explicitly said samsung was validating onto's hybrid-bonding inspection tools.",Bear case: Onto Innovation loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on Samsung validating Onto's hybrid-bonding inspection tools,https://x.com/jukan05/status/2038929887386362165,Direct in-range mention or direct quote-tweet recovery.,248.82000732421875,0.35228264850118896,0.630301694273915,12366941184.0,Equipment
