rank,symbol,name,region,country,exchange,tier,alpha_score,price,market_cap,pe,alpha_reason,connection_count,latest_price,latest_currency,latest_market_cap_usd,latest_market_cap_b_usd,latest_ytd_return_pct,market_data_as_of,market_data_source,market_adjusted_score,market_adjusted_rank,market_adjustment_reason
1,CRDO,Credo Technology,US,United States,NASDAQ,custom ASIC / interconnect,91,184.38,35405200740,101.31,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",79,184.38,USD,34009000000.00,34.01,28.74,2026-05-04,https://finance.yahoo.com/quote/CRDO/,91.50,1,source score 91; mid-cap optionality credit
2,ALAB,Astera Labs,US,United States,NASDAQ,custom ASIC / interconnect,88,202.68,36610291080,92.13,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",77,202.68,USD,34715000000.00,34.72,12.88,2026-05-04,https://finance.yahoo.com/quote/ALAB/,88.50,2,source score 88; mid-cap optionality credit
3,042700.KQ,Hanmi Semiconductor,Non-US,South Korea,KOSDAQ,OSAT / packaging,87,,,,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",65,151000.0,KRW,,,4.5,2026-05-04,https://finance.yahoo.com/quote/042700.KQ/,87.00,3,source score 87; latest market cap unavailable
4,CAMT,Camtek,Non-US,Israel,NASDAQ,wafer fab equipment,86,186.62,8424651417,,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",23,186.62,USD,8743000000.00,8.74,61.58,2026-05-04,https://finance.yahoo.com/quote/CAMT/,85.50,4,source score 86; smaller-cap optionality credit; moderate YTD repricing penalty
5,NVMI,Nova,Non-US,Israel,NASDAQ,wafer fab equipment,84,494.49,14349933157,,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",27,494.49,USD,15858000000.00,15.86,42.36,2026-05-04,https://finance.yahoo.com/quote/NVMI/,82.50,5,source score 84; mid-cap optionality credit; moderate YTD repricing penalty
6,MRVL,Marvell Technology,US,United States,NASDAQ,custom ASIC / interconnect,83,164.95,142467315000,57.88,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",79,164.95,USD,144242000000.00,144.24,84.53,2026-05-04,https://finance.yahoo.com/quote/MRVL/,78.00,10,source score 83; large-cap discovery penalty; moderate YTD repricing penalty
7,BESI.AS,BE Semiconductor Industries,Non-US,Netherlands,Euronext Amsterdam,OSAT / packaging,82,,,,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",65,249.9,EUR,,,67.61,2026-05-04,https://finance.yahoo.com/quote/BESI.AS/,80.00,6,source score 82; latest market cap unavailable; moderate YTD repricing penalty
8,AMKR,Amkor Technology,US,United States,NASDAQ,OSAT / packaging,81,71.09,17741931300,40.86,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",65,71.09,USD,17621000000.00,17.62,65.63,2026-05-04,https://finance.yahoo.com/quote/AMKR/,79.50,7,source score 81; mid-cap optionality credit; moderate YTD repricing penalty
9,ASMI.AS,ASM International,Non-US,Netherlands,Euronext Amsterdam,wafer fab equipment,80,,,,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",20,827.0,EUR,46381300800.00,46.38,49.33,2026-05-04,https://finance.yahoo.com/quote/ASM.AS/,78.50,9,source score 80; mid-cap optionality credit; moderate YTD repricing penalty
10,3661.TW,Alchip Technologies,Non-US,Taiwan,TWSE,custom ASIC / interconnect,79,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",41,4250.0,TWD,10621044400.00,10.62,16.92,2026-05-04,https://finance.yahoo.com/quote/3661.TW/,79.50,8,source score 79; mid-cap optionality credit
