line,name,family,2025,2024,yoy_pct,share_pct_goods,reasoning
27,Food and nonalcoholic beverages purchased for off-premises consumption,Food at home,1295.144,1250.068,3.6058838399191107,19.90067364357416,"Groceries are universal, repetitive spending, so even low single-digit growth compounds into very large dollar totals."
40,Pharmaceutical and other medical products,Other nondurables,729.362,677.676,7.626948571293646,11.207089813970132,Prescriptions and medical products combine steady utilization with high branded-product mix.
14,"Video, audio, photographic, and information processing equipment and media",Recreation durables,427.604,402.729,6.176610077744593,6.570394992901857,"Electronics stay large because computing, media, and device-refresh spending are now everyday household behaviors."
5,New motor vehicles,Vehicles & parts,408.546,394.88,3.4607982171799057,6.277557255708745,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand."
37,"Motor vehicle fuels, lubricants, and fluids",Energy goods,393.097,414.263,-5.109314614146088,6.040173993986823,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines."
41,Recreational items,Other nondurables,334.697,313.676,6.701500911768843,5.142822548290646,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.
9,Furniture and furnishings,Home durables,293.895,281.899,4.255424815270703,4.515875053645175,Home setup and replacement cycles keep this tied to household formation and renovation activity.
32,Women's and girls' clothing,Apparel & footwear,255.924,240.734,6.309868984023859,3.9324275922662437,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing."
28,Alcoholic beverages purchased for off-premises consumption,Food at home,233.926,228.733,2.270332658601948,3.5944149706493858,"Staple consumption happens every week, making grocery categories some of the most dependable spending lines."
6,Net purchases of used motor vehicles,Vehicles & parts,219.074,211.514,3.574231492950819,3.3662049762747346,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand."
43,Personal care products,Other nondurables,213.592,203.421,4.999975420433489,3.28197071899209,"Personal care is frequent, habitual spending with broad category penetration."
42,Household supplies,Other nondurables,198.926,191.13,4.078899178569562,3.056618727509553,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes."
33,Men's and boys' clothing,Apparel & footwear,153.681,144.109,6.6421944500343555,2.361401841199218,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing."
7,Motor vehicle parts and accessories,Vehicles & parts,131.214,126.385,3.820864817818559,2.016182749924286,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand."
45,"Magazines, newspapers, and stationery",Other nondurables,127.018,118.975,6.760243748686712,1.9517086631752933,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes."
15,"Sporting equipment, supplies, guns, and ammunition",Recreation durables,126.935,121.783,4.230475517929433,1.9504333177987048,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.
35,Other clothing materials and footwear,Apparel & footwear,124.568,119.304,4.412257761684435,1.914062926155505,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing."
44,Tobacco,Other nondurables,111.574,115.212,-3.1576571884873172,1.7144022294881056,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes."
20,Jewelry and watches,Other durables,106.012,104.583,1.366378856984407,1.6289387236497126,Small but durable household and personal items add up because of broad usage.
16,Sports and recreational vehicles,Recreation durables,100.915,99.431,1.4924922810793495,1.5506202250416063,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.
