relationship,edge_count,share_pct
ecosystem dependency/adjacency,314,14.23
sells into fabs,300,13.59
uses foundry capacity,230,10.42
uses packaging/test,230,10.42
uses materials indirectly,140,6.34
uses manufacturing capacity,140,6.34
buys fab equipment,126,5.71
buys materials,112,5.07
buys inspection/test/metrology,98,4.44
serves AI/fabless customers,96,4.35
adjacent supplier/peer,85,3.85
AI connectivity / chiplet ecosystem peer,72,3.26
HBM/package/test ecosystem,72,3.26
uses inspection/test tools,64,2.90
uses test/metrology indirectly,55,2.49
uses package materials,40,1.81
uses memory ecosystem,33,1.50
