alpha_rank,ticker,name,region,country,exchange,role,category,alpha_score,market_cap_usd_b,revenue_ttm_usd_b,ps_ratio,price_display,connection_count,alpha_thesis,notes
1,SOI.PA,Soitec,Non-US,France,Euronext Paris,SOI/RF-SOI/Photonics-SOI substrates,Materials / substrates,91.6,5.31,1.0,5.31,126.95 EUR,69,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,Photonics-SOI substrate supplier; official materials cite high-speed data-center interconnect and cloud AI/network infrastructure use cases.
2,ENA.V,Enablence Technologies,Non-US,Canada,TSXV/OTC,"Planar lightwave circuits, PIC components",Photonics / CPO,89.5,0.058,0.006,9.67,3.73 CAD,35,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,"Very small public PIC/PLC supplier; partner in Sivers/O-Net external-light-source PR, but revenue base is tiny and risk high."
3,SIVE.ST,Sivers Semiconductors,Non-US,Sweden,Nasdaq Stockholm,"DFB laser arrays, photonics and mmWave semis",Photonics / CPO,88.0,1.08,0.036,30.0,38.00 SEK,37,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,"Officially public on Nasdaq Stockholm; announced ELS/CPO partnerships with POET, O-Net and Enablence."
4,SKYT,SkyWater Technology,US,United States,NASDAQ,Trusted/specialty foundry,Foundry / specialty,77.8,1.57,0.44,3.57,n/a,39,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,Small public foundry with CHIPS/security optionality; margins and scale remain constraints.
5,AXTI,AXT,US,United States,NASDAQ,InP/GaAs/Ge compound semiconductor substrates,Materials / substrates,76.8,6.28,0.09,69.78,n/a,69,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,InP substrates are leveraged to silicon photonics/data-center connectivity; AXT cited a large InP demand uptick in Q3 2025.
6,VECO,Veeco Instruments,US,United States,NASDAQ,MOCVD/laser anneal/process equipment,Compound / equipment,76.3,3.03,0.7,4.33,n/a,60,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,Compound semiconductor and advanced-node process tools; CPO/SiPh adjacency through photonics materials.
7,2301.TW,Lite-On Technology,Non-US,Taiwan,TWSE,"Power supplies, optoelectronics, modules",Optical / power modules,75.9,11.91,5.0,2.38,n/a,60,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,Power/optoelectronic modules; adjacent to optical supply chain.
8,LASR,nLIGHT,US,United States,NASDAQ,High-power semiconductor/fiber lasers,Photonics / lasers,75.3,4.0,0.26,15.38,n/a,35,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,Laser platform with possible datacenter/industrial/defense optionality; needs visible AI optical revenue conversion.
9,WOLF,Wolfspeed,US,United States,NYSE,SiC substrates/devices,Materials / SiC,75.0,1.77,0.8,2.21,n/a,33,Highest-priority alpha screen: strong AI/CPO/advanced-packaging theme plus smaller or less fully penetrated market-cap base.,SiC strategic asset but heavy balance-sheet/capex risk.
10,COHU,Cohu,US,United States,NASDAQ,Semiconductor test/inspection handlers,Test / inspection,74.6,2.15,0.45,4.78,n/a,39,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Test handlers and inspection for automotive/industrial/communications semis.
11,UCTT,Ultra Clean Holdings,US,United States,NASDAQ,Subassemblies and services for WFE,Wafer equipment supply chain,74.3,3.34,2.0,1.67,n/a,93,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Picks-and-shovels supplier to WFE OEMs; operating leverage in WFE upcycle.
12,PLAB,Photronics,US,United States,NASDAQ,Photomasks,Materials / photomasks,73.9,2.95,0.9,3.28,n/a,33,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Photomask cash flows across display/IC; stable but less explosive.
13,AMKR,Amkor Technology,US,United States,NASDAQ,OSAT advanced packaging and test,Packaging / OSAT,73.3,17.62,6.5,2.71,n/a,27,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Advanced packaging and test leverage AI/networking chips; margins lower than design IP.
