source_id,title,url,used_for
1,Bloom / Oracle 2026 MSA,https://investor.bloomenergy.com/press-releases/press-release-details/2026/Bloom-Energy-and-Oracle-Expand-Strategic-Partnership-to-Deploy-up-to-2-8-GW-to-Accelerate-AI-Infrastructure-Build-Out/default.aspx,"Initial 1.2 GW contracted, MSA up to 2.8 GW, AI/cloud infrastructure use, warrant to Oracle."
2,Bloom / AEP 2024,https://investor.bloomenergy.com/press-releases/press-release-details/2024/Bloom-Energy-Announces-Gigawatt-Fuel-Cell-Procurement-Agreement-with-AEP-to-Power-AI-Data-Centers/default.aspx,Supply agreement up to 1 GW and 100 MW initial order for AI data centers.
3,Bloom / Oracle 2025,https://investor.bloomenergy.com/press-releases/press-release-details/2025/Oracle-and-Bloom-Energy-Collaborate-to-Deliver-Power-to-Data-Centers-at-the-Speed-of-AI/default.aspx,OCI fuel-cell deployment for AI/cloud data centers in 90 days; >400 MW data-center deployment to date.
4,Bloom / CoreWeave 2024,https://www.bloomenergy.com/news/bloom-energy-and-coreweave-partner-to-revolutionize-ai-data-center-power-solutions/,"Onsite Bloom fuel cells for CoreWeave AI data center at Volo, Illinois."
5,Bloom / Equinix 2025,https://investor.bloomenergy.com/press-releases/press-release-details/2025/Bloom-Energy-Expands-Data-Center-Power-Agreement-with-Equinix-Surpassing-100MW/default.aspx,Equinix collaboration exceeds 100 MW across 19 data centers; AI-driven computing demand cited.
6,Bloom / Brookfield 2025,https://investor.bloomenergy.com/press-releases/press-release-details/2025/Brookfield-and-Bloom-Energy-Announce-5-Billion-Strategic-AI-Infrastructure-Partnership/default.aspx,$5B AI infrastructure partnership; preferred onsite power provider for AI factories.
7,Bloom Q1 2026 results,https://investor.bloomenergy.com/press-releases/press-release-details/2026/Bloom-Energy-Reports-Record-First-Quarter-2026-Results-and-Raises-Full-Year-2026-Guidance/default.aspx,"Q1 revenue $751.1M, 130.4% YoY; operating cash flow $73.6M; FY2026 guide $3.4B-$3.8B revenue and $1.85-$2.25 non-GAAP EPS."
8,NVIDIA FY2026 10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,"NVIDIA fabless strategy; uses TSMC and Samsung foundries; buys memory from SK hynix, Micron and Samsung; uses CoWoS and subcontractors."
9,AMD FY2025 10-K,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,"AMD uses TSMC, GF, UMC and Samsung for wafers; ATMP JVs with Tongfu; SPIL/KYEC services; OpenAI 6 GW GPU purchase agreement."
10,Broadcom FY2025 10-K,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,"AI semiconductor solutions include custom accelerators/XPUs, Ethernet silicon, NICs, PHYs, optical components, racks and systems."
11,Marvell FY2026 10-K,https://investor.marvell.com/sec-filings/all-sec-filings/content/0001835632-26-000011/mrvl-20260131.htm,"Data center $6.1B / 74% of revenue; custom ASIC, silicon photonics, CPO, AEC DSPs and AI interconnect."
12,TSMC 2025 annual report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,Robust AI-related demand; Foundry 2.0; advanced nodes and advanced packaging / CoWoS with HBM.
13,ASML 2025 annual report,https://www.asml.com/en/investors/annual-report/2025/financials,2025 net sales €32.7B; growth driven by AI; logic foundry growth and HBM/DDR5 memory investment.
14,Micron FY2025 10-K,https://investors.micron.com/node/49436/html,CMBU focused on hyperscale cloud and HBM; CMBU revenue $13.52B; AI-driven demand outpacing supply.
15,SK hynix FY2025 results,https://www.prnewswire.com/news-releases/sk-hynix-announces-fy25-financial-results-posts-record-high-results-and-delivers-highest-shareholder-returns-302672384.html,Record FY2025; HBM revenue more than doubled year-on-year.
16,VanEck SMH holdings,https://www.vaneck.com/us/en/investments/semiconductor-etf-smh/,"Semiconductor ETF holdings show crowd ownership / discovery: NVDA 17.01%, TSM 10.50%, AVGO 7.95%, etc. as of 04/30/2026."
17,iShares SOXX overview,https://www.ishares.com/us/products/239705/ishares-phlx-semiconductor-etf,ETF objective and semiconductor value-chain exposure.
