rank_revised,rank_prior,rank_change_vs_prior,bucket,company,ticker,listing,domicile,region,layer,thesis_key,summary,tier,residual_alpha_score,residual_upside_score,residual_upside_label,crowding_penalty_score,bottleneck_closeness_score,focus_bonus_score,ai_n,bottleneck_n,centrality_n,hidden_n,catalyst_n,alpha_revision_note,trace,evidence_grade,tags,latest_price,latest_currency,market_cap_usd_b,ytd_return_pct,market_data_as_of,market_data_source,base_residual_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
1,1,0,High-conviction residual alpha,Sumida,6817,TSE: 6817,Japan,Non-US,Inductors,Magnetics and inductors for power conversion,"Magnetics and inductors for power conversion; tight-supply, AI-adjacent, hidden-gem, central-node.",Tier A,100.0,5,very under-owned,1,5,5.0,0.8,0.8,0.8,1.0,0.6,Direct passive/power bottleneck supplier with lower crowding and better residual upside.,1.0,A,"tight-supply, AI-adjacent, hidden-gem, central-node",1515.0,JPY,0.33,31.06,2026-06-09,https://finance.yahoo.com/quote/6817.T/,100.0,0.0,100.0,7.0,power_grid,AI 2027/current overlay: power_grid; bonus +7.0 after cap/YTD discipline.
2,2,0,High-conviction residual alpha,TT Electronics,TTG,LSE: TTG,United Kingdom,Non-US,Passives / sensing,"Current sense, thin/thick film resistor exposure","Current sense, thin/thick film resistor exposure; tight-supply, AI-adjacent, hidden-gem, central-node.",Tier A,99.7,4,underfollowed,2,5,5.0,0.8,0.8,0.8,1.0,0.6,Direct passive/power bottleneck supplier with lower crowding and better residual upside.,1.0,A,"tight-supply, AI-adjacent, hidden-gem, central-node",117.4,GBp,0.28,-0.51,2026-06-09,https://finance.yahoo.com/quote/TTG.L/,91.9,0.0,91.9,7.8,power_grid,AI 2027/current overlay: power_grid; bonus +7.8 after cap/YTD discipline.
3,3,0,High-conviction residual alpha,discoverIE Group,DSCV,LSE: DSCV,United Kingdom,Non-US,Power / connectivity,Underfollowed power and connectivity exposure,Underfollowed power and connectivity exposure; hidden-gem.,Tier A,88.8,5,very under-owned,1,4,3.5,0.6,0.6,0.6,1.0,0.6,Direct passive/power bottleneck supplier with lower crowding and better residual upside.,0.4,C+,hidden-gem,695.0,GBp,0.93,17.6,2026-06-09,https://finance.yahoo.com/quote/DSCV.L/,82.3,0.0,82.3,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
4,5,1,High-conviction residual alpha,AcBel Polytech,6282,TWSE: 6282,Taiwan,Non-US,Power supplies,Server power supplies and high-density power conversion,"Server power supplies and high-density power conversion; bottleneck, AI-adjacent, hidden-gem, 2026-catalyst, central-node.",Tier A,81.6,3,balanced,3,4,3.5,0.8,1.0,0.8,1.0,0.8,"On a crowding-sensitive alpha list, the hidden-gem premise is eroding: a June 4 limit-up on theme money, retail explainer coverage, massive turnover, and today's +7.5% no-news rebound mean the rerating is happening without fresh fundamentals; yesterday's up-move captured the post-spike asymmetry, an",0.6,B+,"bottleneck, AI-adjacent, hidden-gem, 2026-catalyst, central-node",63.2,TWD,1.60,44.29,2026-06-09,https://finance.yahoo.com/quote/6282.TW/,71.6,0.0,71.6,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
5,6,1,High-conviction residual alpha,TDK,6762,TSE: 6762,Japan,Non-US,Passives,"MLCCs, inductors, filters and AI power topology exposure","MLCCs, inductors, filters and AI power topology exposure; bottleneck, direct-AI, 2026-catalyst, central-node.",Tier A,78.6,3,balanced,3,5,5.0,1.0,1.0,0.8,0.4,0.8,Another +3.2% day on zero fundamental news pushes YTD past 70% on a crowding-sensitive residual-alpha list; the rerating is consuming the asymmetry and at $44B cap TDK is far less hidden than the Tier A names it sits above.,1.0,A,"bottleneck, direct-AI, 2026-catalyst, central-node",3835.0,JPY,44.21,70.44,2026-06-09,https://finance.yahoo.com/quote/6762.T/,76.3,0.0,76.3,2.3,power_grid,AI 2027/current overlay: power_grid; bonus +2.3 after cap/YTD discipline.
6,4,-2,High-conviction residual alpha,Walsin Technology,2492,TWSE: 2492,Taiwan,Non-US,Passives,Underfollowed MLCC and resistor supplier tied to AI demand,"Underfollowed MLCC and resistor supplier tied to AI demand; bottleneck, AI-adjacent, hidden-gem, 2026-catalyst, central-node.",Tier A,72.1,4,underfollowed,2,5,5.0,0.8,1.0,0.8,1.0,0.8,"On a residual-alpha page, a +10% limit-up day with no new fundamental evidence since June 6 - on top of yesterday's down verdict and a YTD now at +253% - means the hidden-gem/under-owned premise is gone and the post-rerating chase penalty deepens. The bottleneck thesis is intact but increasingly in ",1.0,A,"bottleneck, AI-adjacent, hidden-gem, 2026-catalyst, central-node",440.0,TWD,6.15,253.41,2026-06-09,https://finance.yahoo.com/quote/2492.TW/,96.3,10.2,86.1,-14.0,power_grid,AI 2027/current overlay: power_grid; bonus -14.0 after cap/YTD discipline.
7,9,2,High-conviction residual alpha,Wistron,3231,TWSE: 3231,Taiwan,Non-US,ODM / infrastructure,AI supercomputing and server manufacturing leverage,"AI supercomputing and server manufacturing leverage; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",Tier A,69.2,3,balanced,3,3,3.5,0.8,0.8,0.8,0.8,0.8,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.7,A-,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node",165.5,TWD,17.24,6.77,2026-06-09,https://finance.yahoo.com/quote/3231.TW/,65.2,0.0,65.2,4.0,compute_factory,AI 2027/current overlay: compute_factory; bonus +4.0 after cap/YTD discipline.
8,10,2,High-conviction residual alpha,Nippon Chemi-Con,6997,TSE: 6997,Japan,Non-US,Passives,Aluminum electrolytic and polymer caps around AI server VRMs,"Aluminum electrolytic and polymer caps around AI server VRMs; bottleneck, direct-AI, underfollowed, 2026-catalyst, central-node.",Tier A,67.3,3,balanced,3,5,5.0,1.0,1.0,0.8,0.8,0.8,"Direct bottleneck exposure remains attractive, though less hidden than Tier A names.",1.0,A,"bottleneck, direct-AI, underfollowed, 2026-catalyst, central-node",4565.0,JPY,0.68,203.73,2026-06-09,https://finance.yahoo.com/quote/6997.T/,81.5,7.7,73.8,-6.5,compute_factory,AI 2027/current overlay: compute_factory; bonus -6.5 after cap/YTD discipline.
9,11,2,Secondary residual alpha,Inventec,2356,TWSE: 2356,Taiwan,Non-US,ODM,Server and cloud hardware manufacturing,"Server and cloud hardware manufacturing; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",Tier B,66.4,3,balanced,3,3,3.5,0.8,0.8,0.8,0.8,0.8,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.6,B+,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node",70.6,TWD,7.87,58.47,2026-06-09,https://finance.yahoo.com/quote/2356.TW/,63.9,0.0,63.9,2.5,compute_factory,AI 2027/current overlay: compute_factory; bonus +2.5 after cap/YTD discipline.
10,7,-3,High-conviction residual alpha,Nichicon,6996,TSE: 6996,Japan,Non-US,Passives,Electrolytic capacitor leverage in AI/server power,"Electrolytic capacitor leverage in AI/server power; tight-supply, AI-adjacent, underfollowed, central-node.",Tier A,65.1,3,balanced,3,5,5.0,0.8,0.8,0.8,0.8,0.6,"On a crowding-sensitive alpha list, a +5.3% pop driven by a sell-side TP hike (Neutral rating, stock now above the new JPY 4,000 target) at +158.6% YTD is discovery without new fundamentals - residual alpha shrinks and the 'underfollowed' leg of the thesis erodes. Yesterday's hold is overridden by g",1.0,A,"tight-supply, AI-adjacent, underfollowed, central-node",4285.0,JPY,1.82,158.6,2026-06-09,https://finance.yahoo.com/quote/6996.T/,72.0,5.4,66.6,-1.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -1.5 after cap/YTD discipline."
