Ticker,Company,Country/Listing,Direct AI Supply-Chain Category,Reason Excluded,Source URL
GLW,Corning,US,Optical connectivity/fiber,Nvidia partnership to expand optical connectivity for AI data centers,https://www.reuters.com/business/media-telecom/corning-partners-with-nvidia-expand-us-fiber-optic-output-ai-growth-2026-05-06/
JCI,Johnson Controls,Ireland/US-listed,Data-center cooling/security/fire,Raised forecast on data-center thermal management/cooling demand,https://www.reuters.com/business/johnson-controls-raises-annual-profit-forecast-data-center-cooling-demand-2026-05-06/
SU.PA,Schneider Electric,France,Data-center power/cooling,Strong data-center demand and Nvidia/data-center cooling/power positioning,https://www.reuters.com/business/schneider-beats-profit-expectations-data-center-demand-offsets-weak-dollar-2026-02-26/
IFX.DE,Infineon,Germany,AI data-center power semiconductors,2026 outlook lifted by AI data-center power-supply demand,https://www.reuters.com/business/infineon-lifts-2026-outlook-ai-demand-boosts-growth-prospects-2026-05-06/
FLEX,Flex,US/Singapore,Cloud/power/cooling infrastructure,Spinning off AI data-center infrastructure unit,https://www.reuters.com/business/flex-spin-off-ai-data-center-infrastructure-unit-into-listed-company-2026-05-05/
VRT,Vertiv,US,Data-center power/cooling,Direct liquid cooling and data-center infrastructure supplier,https://www.reuters.com/technology/vertiv-acquire-purgerite-about-1-billion-boost-its-liquid-cooling-portfolio-2025-11-03/
ETN,Eaton,US/Ireland,Data-center power/cooling,Acquired Boyd Thermal to expand data-center segment,https://www.reuters.com/business/eaton-buy-boyd-thermal-95-billion-2025-11-03/
MOD,Modine,US,Data-center cooling,Direct AI/data-center cooling supplier; stock already repriced on thesis,https://www.investors.com/research/the-new-america/modine-manufacturing-ai-data-center-hyperscalers-openai-nvidia-amazon/
VMI,Valmont,US,Grid/utility for AI data centers,Company materials indicate data centers and AI-related infrastructure contributing to demand,https://investors.valmont.com/static-files/87966cd3-23aa-44e0-b585-b3ea6f47cfe6
BLD,TopBuild,US,Data-center construction/building products,QXO deal framed around exposure to large complex projects like data centers,https://www.reuters.com/legal/transactional/qxo-buy-commercial-roofing-firm-topbuild-17-billion-2026-04-19/
APG,APi Group,US,Data-center fire/safety services,Reported/expected data-center revenue contribution,https://finance.yahoo.com/markets/stocks/articles/api-group-apg-shows-commitment-121221940.html
AALB.AS,Aalberts,Netherlands,Semiconductor/fab equipment support,Official advanced mechatronics pages describe semiconductor machine frames/vacuum chambers,https://aalberts-am.com/markets/semiconductor/
IEX,IDEX,US,Semiconductor fluid handling,Trebor unit serves ultra-pure semiconductor fluid handling/heating applications,https://idexcorp.com/news/news-item/segment/fluid-matering/
MGAM.L,Morgan Advanced Materials,UK,Semiconductor processing materials,Official pages describe ceramic/carbon components for semiconductor processing,https://www.morgantechnicalceramics.com/en-gb/markets/semiconductor-processing/
VCT.L,Victrex,UK,Semiconductor polymers,Official semiconductor page describes PEEK uses in semiconductor technologies,https://www.victrex.com/en/industries/electronics/semiconductor
BESI.AS,BE Semiconductor Industries,Netherlands,Advanced packaging/hybrid bonding,Advanced packaging/hybrid-bonding tools tied to AI-chip packaging,https://www.reuters.com/markets/deals/applied-materials-buys-9-stake-advanced-packaging-firm-besi-2025-04-15/
AMAT,Applied Materials,US,Wafer-fab equipment,AI demand drives chipmaking tool orders,https://www.reuters.com/technology/applied-materials-jumps-ai-demand-drives-chipmaking-tool-orders-2026-02-13/
AMKR,Amkor,US,Advanced packaging,Arizona advanced-packaging campus with Nvidia/Apple/TSMC relevance,https://www.tomshardware.com/tech-industry/semiconductors/amkor-breaks-ground-on-arizona-advanced-packaging-campus
TXN,Texas Instruments,US,AI data-center analog/power chips,AI data centers driving analog chip demand,https://www.reuters.com/business/analog-chipmaker-texas-instruments-forecasts-first-quarter-revenue-above-2026-01-27/
HPS.A.TO,Hammond Power Solutions,Canada,Transformers/data-center power,Direct transformer/electrification beneficiary from data centers,https://www.hammondpowersolutions.com/
VLX.L,Volex,UK,High-speed copper interconnects,Direct 400G/800G/1.6T data-center interconnect positioning,https://www.volex.com/
MTRS.ST,Munters,Sweden,Data-center cooling,Direct data-center cooling exposure,https://www.munters.com/
2308.TW,Delta Electronics,Taiwan,AI data-center power/cooling,Key supplier of power/cooling systems for AI data centers,https://www.reuters.com/world/asia-pacific/taiwans-delta-electronics-warns-costs-rising-ai-data-centre-demand-surges-2026-04-30/
ASML,ASML,Netherlands,Lithography/fab,Core semiconductor lithography supplier,https://www.asml.com/
MKSI,MKS Instruments,US,Semiconductor/electronics/packaging,Focusing on chipmaking sector with AI demand exposure,https://www.ft.com/content/df1467e3-e235-4ab2-a51e-6addbc9e9dc0
