source_tier,target_tier,edge_count,cash_in_edges,cash_out_edges,same_or_adjacent_edges,high_confidence_edges,medium_confidence_edges,lower_confidence_edges,share_pct
wafer fab equipment,foundry,166,0,0,166,0,166,0,6.85
analog / power / RF,OSAT / packaging,165,0,0,165,0,165,0,6.81
memory,wafer fab equipment,143,0,0,143,0,143,0,5.9
analog / power / RF,foundry,140,0,0,140,0,140,0,5.78
wafer fab equipment,memory,135,0,0,135,0,135,0,5.57
analog / power / RF,materials / wafers,132,0,0,132,0,132,0,5.45
foundry,wafer fab equipment,132,0,0,132,0,132,0,5.45
analog / power / RF,custom ASIC / interconnect,124,0,0,124,0,0,124,5.12
custom ASIC / interconnect,foundry,101,0,0,101,1,100,0,4.17
custom ASIC / interconnect,memory,85,0,0,85,0,84,1,3.51
OSAT / packaging,custom ASIC / interconnect,82,0,0,82,0,82,0,3.39
custom ASIC / interconnect,custom ASIC / interconnect,75,0,0,75,1,74,0,3.1
analog / power / RF,AI accelerator,66,0,0,66,0,0,66,2.73
OSAT / packaging,wafer fab equipment,64,0,0,64,0,64,0,2.64
foundry,materials / wafers,64,0,0,64,0,64,0,2.64
materials / wafers,foundry,64,0,0,64,0,64,0,2.64
materials / wafers,memory,53,0,0,53,0,53,0,2.19
wafer fab equipment,custom ASIC / interconnect,51,0,0,51,0,0,51,2.11
memory,materials / wafers,48,0,0,48,0,48,0,1.98
custom ASIC / interconnect,OSAT / packaging,47,0,0,47,2,45,0,1.94
custom ASIC / interconnect,wafer fab equipment,45,0,0,45,0,45,0,1.86
wafer fab equipment,wafer fab equipment,45,0,0,45,0,45,0,1.86
OSAT / packaging,materials / wafers,40,0,0,40,0,40,0,1.65
materials / wafers,wafer fab equipment,40,0,0,40,0,40,0,1.65
memory,OSAT / packaging,37,0,0,37,0,37,0,1.53
analog / power / RF,memory,33,0,0,33,0,33,0,1.36
AI accelerator,foundry,29,0,0,29,4,25,0,1.2
AI accelerator,memory,26,0,0,26,4,22,0,1.07
wafer fab equipment,OSAT / packaging,25,0,0,25,0,25,0,1.03
OSAT / packaging,AI accelerator,20,0,0,20,0,20,0,0.83
wafer fab equipment,AI accelerator,18,0,0,18,0,0,18,0.74
OSAT / packaging,analog / power / RF,16,0,0,16,0,16,0,0.66
AI accelerator,OSAT / packaging,15,0,0,15,2,13,0,0.62
OSAT / packaging,memory,14,0,0,14,0,14,0,0.58
AI accelerator,wafer fab equipment,11,0,0,11,0,11,0,0.45
memory,AI accelerator,8,0,0,8,4,2,2,0.33
memory,custom ASIC / interconnect,8,0,0,8,0,0,8,0.33
semiconductor ecosystem,custom ASIC / interconnect,8,0,0,8,0,0,8,0.33
memory,foundry,7,0,0,7,0,1,6,0.29
memory,memory,7,0,0,7,6,0,1,0.29
semiconductor ecosystem,foundry,6,0,0,6,0,0,6,0.25
OSAT / packaging,foundry,4,0,0,4,0,4,0,0.17
materials / wafers,AI accelerator,3,0,0,3,0,0,3,0.12
memory,analog / power / RF,3,0,0,3,0,0,3,0.12
semiconductor ecosystem,analog / power / RF,3,0,0,3,0,0,3,0.12
AI accelerator,AI accelerator,2,0,0,2,2,0,0,0.08
AI accelerator,custom ASIC / interconnect,2,0,0,2,0,2,0,0.08
custom ASIC / interconnect,AI accelerator,2,0,0,2,1,1,0,0.08
foundry,AI accelerator,2,0,0,2,1,1,0,0.08
semiconductor ecosystem,AI accelerator,2,0,0,2,0,0,2,0.08
foundry,OSAT / packaging,1,0,0,1,0,0,1,0.04
foundry,foundry,1,0,0,1,0,1,0,0.04
foundry,memory,1,0,0,1,0,0,1,0.04
semiconductor ecosystem,memory,1,0,0,1,0,0,1,0.04
