company_id,ticker,name,region,country,role,segment,market_cap_b_usd,cpo_exposure_1_to_5,alpha_score,alpha_rank,valuation_tag,alpha_optionality_b_usd,alpha_optional_pct_of_market_cap,alpha_rank_key_json,role_color,alpha_reasoning,company_thesis,company_risk,direct_connection_count,specific_public_count,public_ecosystem_count,public_value_chain_count,inferred_adjacency_count,depth5_reachable_company_count_excluding_self,depth5_top_reachable_alpha_tickers,top_5_direct_relationships,direct_source_refs,direct_source_ids,direct_source_urls,generated_from_report_date,method_note
MTSI,MTSI,MACOM Technology Solutions,US,United States,Photonics/RF/connectivity,"Drivers, TIAs, optical components, copper and LPO/retimed optics",21,4,84,1,mid,7.16,34.1,"[-84,21]",#be185d,"Alpha 84/100, rank #1: direct CPO exposure (4/5) in role 'Photonics/RF/connectivity', large/mega-cap where discovery is likely higher, valuation tag 'mid', heuristic optionality $7.16B; optionality equals about 34.1% of market cap. Thesis: Strong 200G/lane optical/copper interconnect exposure with smaller market cap than the already-crowded optics winners. Risk: Cyclical RF/industrial and execution risk",Strong 200G/lane optical/copper interconnect exposure with smaller market cap than the already-crowded optics winners.,Cyclical RF/industrial and execution risk,20,0,1,13,6,99,SOI.PA:78; SMTC:78; LITE:77; AIXA.DE:76; COHR:76; CRDO:75; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"AVGO for 200G/lane optical/copper interconnect in 102.4T switch ecosystems [Public ecosystem, strength 0.65]; SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; NVMI for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]",AI optical module stack; MACOM OFC 2026; Role-based semiconductor value-chain map,S01; S02; S04; S09; S11; S12; S13,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/; https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo; https://nvidianews.nvidia.com/news/nvidia-and-coherent-announce-strategic-partnership-to-develop-optics-technology-to-scale-next-generation-data-center-architecture; https://ir.macom.com/news-releases/news-release-details/macom-showcase-innovative-connectivity-solutions-ofc-2026; https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
SOI_PA,SOI.PA,Soitec,Non-US,France,Materials/substrates,"SOI/engineered substrates for RF, photonics, power",5.3,4,78,2,mid,1.95,36.79,"[-78,5.3]",#047857,"Alpha 78/100, rank #2: direct CPO exposure (4/5) in role 'Materials/substrates', smaller-cap/less crowded candidate, valuation tag 'mid', heuristic optionality $1.95B; optionality equals about 36.79% of market cap. Thesis: Engineered substrates are a hidden enabler for silicon photonics and RF; smaller cap with optical substrate optionality. Risk: RF cycle, customer concentration",Engineered substrates are a hidden enabler for silicon photonics and RF; smaller cap with optical substrate optionality.,"RF cycle, customer concentration",20,0,0,10,10,99,MTSI:84; SMTC:78; LITE:77; AIXA.DE:76; COHR:76; CRDO:75; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; NVMI for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]; VECO for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]",Role-based semiconductor value-chain map,S11; S12; S13,https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
SMTC,SMTC,Semtech,US,United States,Signal integrity/optical IC,"Signal integrity, optical transport ICs, IoT",10,3,78,3,mid,3.22,32.2,"[-78,10]",#0e7490,"Alpha 78/100, rank #3: indirect CPO exposure (3/5) in role 'Signal integrity/optical IC', smaller-cap/less crowded candidate, valuation tag 'mid', heuristic optionality $3.22B; optionality equals about 32.2% of market cap. Thesis: Smaller-cap signal-integrity/optical leverage; credible second-derivative AI networking exposure. Risk: Turnaround and product-cycle risk",Smaller-cap signal-integrity/optical leverage; credible second-derivative AI networking exposure.,Turnaround and product-cycle risk,20,0,0,14,6,99,MTSI:84; SOI.PA:78; LITE:77; AIXA.DE:76; COHR:76; CRDO:75; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; NVMI for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]",Role-based semiconductor value-chain map,S11; S12; S13,https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
LITE,LITE,Lumentum,US,United States,Photonics/optical components,"Lasers, optical chips/components/modules for cloud and AI",58,5,77,4,large,10.97,18.91,"[-77,58]",#db2777,"Alpha 77/100, rank #4: direct CPO exposure (5/5) in role 'Photonics/optical components', large/mega-cap where discovery is likely higher, valuation tag 'large', heuristic optionality $10.97B; optionality equals about 18.91% of market cap. Thesis: NVIDIA $2B investment and purchase commitments make it a direct laser/ELS candidate, but the market has noticed. Risk: Very large recent rerating; customer/capacity risk","NVIDIA $2B investment and purchase commitments make it a direct laser/ELS candidate, but the market has noticed.",Very large recent rerating; customer/capacity risk,20,0,0,10,10,99,MTSI:84; SOI.PA:78; SMTC:78; AIXA.DE:76; COHR:76; CRDO:75; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]; VECO for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]",AI optical module stack; Role-based semiconductor value-chain map,S01; S02; S04; S11; S12; S13,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/; https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo; https://nvidianews.nvidia.com/news/nvidia-and-coherent-announce-strategic-partnership-to-develop-optics-technology-to-scale-next-generation-data-center-architecture; https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
AIXA_DE,AIXA.DE,Aixtron,Non-US,Germany,Equipment,"MOCVD equipment for compound semis, lasers, SiC/GaN",6.2,3,76,5,mid,1.87,30.16,"[-76,6.2]",#64748b,"Alpha 76/100, rank #5: indirect CPO exposure (3/5) in role 'Equipment', smaller-cap/less crowded candidate, valuation tag 'mid', heuristic optionality $1.87B; optionality equals about 30.16% of market cap. Thesis: Small, underfollowed compound-semiconductor equipment lever to lasers and photonic devices. Risk: LED/SiC/photonics capex volatility","Small, underfollowed compound-semiconductor equipment lever to lasers and photonic devices.",LED/SiC/photonics capex volatility,20,0,0,10,10,99,MTSI:84; SOI.PA:78; SMTC:78; LITE:77; COHR:76; CRDO:75; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; NVMI for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]; VECO for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]",Role-based semiconductor value-chain map,S11; S12; S13,https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
COHR,COHR,Coherent,US,United States,Photonics/optical components,"Lasers, optical networking products, materials, transceivers",60,5,76,6,large,10.81,18.02,"[-76,60]",#db2777,"Alpha 76/100, rank #6: direct CPO exposure (5/5) in role 'Photonics/optical components', large/mega-cap where discovery is likely higher, valuation tag 'large', heuristic optionality $10.81B; optionality equals about 18.02% of market cap. Thesis: NVIDIA partnership validates datacenter optics; upside depends on capacity, margins and repeat orders. Risk: Large recent rerating; execution/capacity build risk","NVIDIA partnership validates datacenter optics; upside depends on capacity, margins and repeat orders.",Large recent rerating; execution/capacity build risk,20,0,0,11,9,99,MTSI:84; SOI.PA:78; SMTC:78; LITE:77; AIXA.DE:76; CRDO:75; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; NVMI for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]",Role-based semiconductor value-chain map,S11; S12; S13,https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
CRDO,CRDO,Credo Technology,US,United States,Connectivity/SerDes/AEC,"Active electrical cables, DSPs, SerDes IP, optical interconnect",30,5,75,7,mid,7.39,24.63,"[-75,30]",#0891b2,"Alpha 75/100, rank #7: direct CPO exposure (5/5) in role 'Connectivity/SerDes/AEC', large/mega-cap where discovery is likely higher, valuation tag 'mid', heuristic optionality $7.39B; optionality equals about 24.63% of market cap. Thesis: One of the closest public cable/connectivity pure plays; DustPhotonics acquisition adds SiPho/CPO optionality. Risk: Revenue concentration, high multiple after repricing",One of the closest public cable/connectivity pure plays; DustPhotonics acquisition adds SiPho/CPO optionality.,"Revenue concentration, high multiple after repricing",20,0,0,12,8,99,MTSI:84; SOI.PA:78; SMTC:78; LITE:77; AIXA.DE:76; COHR:76; NVMI:74; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; NVMI for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; CAMT for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]",AI interconnect stack; CPO optical engine stack; Role-based semiconductor value-chain map,S06; S01; S02; S08; S11; S12; S13,https://www.globenewswire.com/news-release/2025/05/01/3072869/0/en/Astera-Labs-Ramps-Production-of-PCIe-6-Connectivity-Portfolio-Supercharging-Advanced-AI-and-Cloud-Infrastructure-Deployments.html; https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/; https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo; https://www.marvell.com/company/newsroom/marvell-demonstrates-silicon-photonics-light-engine-for-low-power-rack-scale-interconnect-in-ai-networks.html; https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
NVMI,NVMI,Nova,Non-US,Israel,Metrology/inspection,Process control and metrology,15.7,3,74,8,mid,4.03,25.67,"[-74,15.7]",#475569,"Alpha 74/100, rank #8: indirect CPO exposure (3/5) in role 'Metrology/inspection', smaller-cap/less crowded candidate, valuation tag 'mid', heuristic optionality $4.03B; optionality equals about 25.67% of market cap. Thesis: Underrated metrology beneficiary of complex advanced nodes, packaging, HBM and photonics yields. Risk: Capex volatility","Underrated metrology beneficiary of complex advanced nodes, packaging, HBM and photonics yields.",Capex volatility,20,0,0,8,12,99,MTSI:84; SOI.PA:78; SMTC:78; LITE:77; AIXA.DE:76; COHR:76; CRDO:75; CAMT:73; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"TSM / 2330.TW for process control and metrology for advanced foundry/package flows [Public value-chain, strength 0.65]; SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]; TPRO.MI for assembly, advanced packaging and final test [Public value-chain, strength 0.62]",Role-based semiconductor value-chain map; semicap value chain,S11; S12; S13,https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
CAMT,CAMT,Camtek,Non-US,Israel,Metrology/inspection,Inspection/metrology for advanced packaging and semis,8.7,3,73,9,mid,2.38,27.36,"[-73,8.7]",#475569,"Alpha 73/100, rank #9: indirect CPO exposure (3/5) in role 'Metrology/inspection', smaller-cap/less crowded candidate, valuation tag 'mid', heuristic optionality $2.38B; optionality equals about 27.36% of market cap. Thesis: Smaller inspection beneficiary of advanced packaging/AI chiplet complexity. Risk: Advanced packaging capex cycle",Smaller inspection beneficiary of advanced packaging/AI chiplet complexity.,Advanced packaging capex cycle,20,0,0,8,12,99,MTSI:84; SOI.PA:78; SMTC:78; LITE:77; AIXA.DE:76; COHR:76; CRDO:75; NVMI:74; ALAB:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"ASX / 3711.TW for inspection/metrology for advanced packaging and OSAT flows [Public value-chain, strength 0.65]; SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]; BESI.AS for assembly, advanced packaging and final test [Public value-chain, strength 0.62]; TPRO.MI for assembly, advanced packaging and final test [Public value-chain, strength 0.62]",Role-based semiconductor value-chain map; advanced packaging stack,S11; S12; S13; S01,https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/; https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
ALAB,ALAB,Astera Labs,US,United States,Connectivity/retimers/AEC,"PCIe/CXL retimers, fabric switches, active cable modules, PCIe over optics",29,4,73,10,mid,6.04,20.83,"[-73,29]",#0891b2,"Alpha 73/100, rank #10: direct CPO exposure (4/5) in role 'Connectivity/retimers/AEC', large/mega-cap where discovery is likely higher, valuation tag 'mid', heuristic optionality $6.04B; optionality equals about 20.83% of market cap. Thesis: Direct AI rack-scale connectivity; not exactly CPO cables, but close copper/optical transition exposure. Risk: High P/S and hyperscaler concentration","Direct AI rack-scale connectivity; not exactly CPO cables, but close copper/optical transition exposure.",High P/S and hyperscaler concentration,20,3,0,11,6,99,MTSI:84; SOI.PA:78; SMTC:78; LITE:77; AIXA.DE:76; COHR:76; CRDO:75; NVMI:74; CAMT:73; MXL:72; BESI.AS:72; VECO:71; TPRO.MI:71; PLAB:70; 6488.TW:70,"AMD for PCIe 6 ecosystem support for EPYC/Instinct platforms [Specific public, strength 0.8]; MU for PCIe 6 SSD and memory/storage interoperability [Specific public, strength 0.75]; 005930.KS for PCIe 6 SSD/storage interoperability [Specific public, strength 0.75]; SOI.PA for substrates, wafers, photomasks or specialty materials [Public value-chain, strength 0.62]; AIXA.DE for fab equipment, process control, test or packaging tools [Public value-chain, strength 0.62]",Astera PCIe 6 release; Role-based semiconductor value-chain map,S06; S11; S12; S13,https://www.globenewswire.com/news-release/2025/05/01/3072869/0/en/Astera-Labs-Ramps-Production-of-PCIe-6-Connectivity-Portfolio-Supercharging-Advanced-AI-and-Cloud-Infrastructure-Deployments.html; https://stockanalysis.com/stocks/industry/semiconductors/; https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/; https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,2026-05-03,"Heuristic research score from the HTML report; not investment advice and not a guarantee of returns. Market cap is used as the valuation base, not a live per-share stock quote."
