source,source_name,path_number,depth_edges,path_symbols,path_names,relationship_chain,cash_flow_chain,confidence
CRDO,Credo Technology,1,5,CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT -> 000660.KS,Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek -> SK hynix,CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → 000660.KS: sells into fabs,CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ALAB pays OSAT or packaging partners | ...,medium
CRDO,Credo Technology,2,5,CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT -> MU,Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek -> Micron Technology,CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → MU: sells into fabs,CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ALAB pays OSAT or packaging partners | ...,medium
CRDO,Credo Technology,3,5,CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT -> 005930.KS,Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek -> Samsung Electronics,CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → 005930.KS: sells into fabs,CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ALAB pays OSAT or packaging partners | ...,medium
CRDO,Credo Technology,4,5,CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT -> GFS,Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek -> GlobalFoundries,CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → GFS: sells into fabs,CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ALAB pays OSAT or packaging partners | ...,medium
CRDO,Credo Technology,5,5,CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT -> TSEM,Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek -> Tower Semiconductor,CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → TSEM: sells into fabs,CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ALAB pays OSAT or packaging partners | ...,medium
ALAB,Astera Labs,1,5,ALAB -> 042700.KQ -> CRDO -> BESI.AS -> CAMT -> 000660.KS,Astera Labs -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Camtek -> SK hynix,ALAB → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → 000660.KS: sells into fabs,ALAB pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
ALAB,Astera Labs,2,5,ALAB -> 042700.KQ -> CRDO -> BESI.AS -> CAMT -> MU,Astera Labs -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Camtek -> Micron Technology,ALAB → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → MU: sells into fabs,ALAB pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
ALAB,Astera Labs,3,5,ALAB -> 042700.KQ -> CRDO -> BESI.AS -> CAMT -> 005930.KS,Astera Labs -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Camtek -> Samsung Electronics,ALAB → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → 005930.KS: sells into fabs,ALAB pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
ALAB,Astera Labs,4,5,ALAB -> 042700.KQ -> CRDO -> BESI.AS -> CAMT -> GFS,Astera Labs -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Camtek -> GlobalFoundries,ALAB → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → GFS: sells into fabs,ALAB pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
ALAB,Astera Labs,5,5,ALAB -> 042700.KQ -> CRDO -> BESI.AS -> CAMT -> TSEM,Astera Labs -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Camtek -> Tower Semiconductor,ALAB → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → TSEM: sells into fabs,ALAB pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
042700.KQ,Hanmi Semiconductor,1,5,042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR -> CAMT,Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology -> Camtek,042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → CAMT: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
042700.KQ,Hanmi Semiconductor,2,5,042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR -> NVMI,Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology -> Nova,042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → NVMI: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
042700.KQ,Hanmi Semiconductor,3,5,042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR -> MRVL,Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology -> Marvell Technology,042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → MRVL: serves AI/fabless customers,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
042700.KQ,Hanmi Semiconductor,4,5,042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR -> 3661.TW,Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology -> Alchip Technologies,042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → 3661.TW: serves AI/fabless customers,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
042700.KQ,Hanmi Semiconductor,5,5,042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR -> FORM,Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology -> FormFactor,042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → FORM: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
CAMT,Camtek,1,5,CAMT -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> ALAB,Camtek -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs,CAMT → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers,fabs/IDMs pay CAMT for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
CAMT,Camtek,2,5,CAMT -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> NVMI,Camtek -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Nova,CAMT → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → NVMI: uses inspection/test tools,fabs/IDMs pay CAMT for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
