symbol,name,rank,tier,alpha_score,edge_count,out_edges,in_edges,top_relationship,top_use,top_cash_flow
005930.KS,Samsung Electronics,35,memory,62,135,36,99,uses foundry capacity,wafer fabrication / process nodes / specialty processes,005930.KS or its customers fund HBM/advanced package operations
GFS,GlobalFoundries,21,foundry,69,112,24,88,uses foundry capacity,wafer fabrication / process nodes / specialty processes,GFS capex flows to equipment suppliers
TSEM,Tower Semiconductor,23,foundry,68,112,24,88,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TSEM capex flows to equipment suppliers
TSM,Taiwan Semiconductor Manufacturing,38,foundry,62,112,24,88,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TSM capex flows to equipment suppliers
UMC,United Microelectronics,56,foundry,56,112,24,88,uses foundry capacity,wafer fabrication / process nodes / specialty processes,UMC capex flows to equipment suppliers
AVGO,Broadcom,41,custom ASIC / interconnect,61,101,40,61,ecosystem dependency/adjacency,"shared AI semiconductor value chain: design, manufacturing, packaging, memory, test, equipment or materials",cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated
CRDO,Credo Technology,1,custom ASIC / interconnect,91,100,40,60,ecosystem dependency/adjacency,"shared AI semiconductor value chain: design, manufacturing, packaging, memory, test, equipment or materials",cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated
MRVL,Marvell Technology,6,custom ASIC / interconnect,83,100,40,60,ecosystem dependency/adjacency,"shared AI semiconductor value chain: design, manufacturing, packaging, memory, test, equipment or materials",cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated
ALAB,Astera Labs,2,custom ASIC / interconnect,88,98,40,58,ecosystem dependency/adjacency,"shared AI semiconductor value chain: design, manufacturing, packaging, memory, test, equipment or materials",cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated
NVDA,NVIDIA,44,AI accelerator,60,89,32,57,ecosystem dependency/adjacency,"shared AI semiconductor value chain: design, manufacturing, packaging, memory, test, equipment or materials",cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated
000660.KS,SK hynix,13,memory,76,87,36,51,sells into fabs,"capacity additions and process-node ramps in logic, memory and advanced packaging",000660.KS or its customers fund HBM/advanced package operations
MU,Micron Technology,14,memory,75,87,36,51,sells into fabs,"capacity additions and process-node ramps in logic, memory and advanced packaging",MU or its customers fund HBM/advanced package operations
AMD,Advanced Micro Devices,43,AI accelerator,60,86,32,54,ecosystem dependency/adjacency,"shared AI semiconductor value chain: design, manufacturing, packaging, memory, test, equipment or materials",cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated
042700.KQ,Hanmi Semiconductor,3,OSAT / packaging,87,77,25,52,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AI chip companies pay packaging/test providers
BESI.AS,BE Semiconductor Industries,7,OSAT / packaging,82,77,25,52,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AI chip companies pay packaging/test providers
AMKR,Amkor Technology,8,OSAT / packaging,81,77,25,52,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AI chip companies pay packaging/test providers
ASX,ASE Technology Holding,55,OSAT / packaging,57,77,25,52,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AI chip companies pay packaging/test providers
KLIC,Kulicke & Soffa,66,OSAT / packaging,53,77,25,52,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AI chip companies pay packaging/test providers
2408.TW,Nanya Technology,82,memory,49,76,36,40,sells into fabs,"capacity additions and process-node ramps in logic, memory and advanced packaging",2408.TW or its customers fund HBM/advanced package operations
6488.TWO,GlobalWafers,24,materials / wafers,67,72,15,57,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing
ENTG,Entegris,27,materials / wafers,65,72,15,57,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing
3436.T,SUMCO,42,materials / wafers,60,72,15,57,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing
PLAB,Photronics,71,materials / wafers,52,72,15,57,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing
5347.TWO,Vanguard International Semiconductor,62,foundry,54,66,24,42,sells into fabs,"capacity additions and process-node ramps in logic, memory and advanced packaging",5347.TWO capex flows to equipment suppliers
INTC,Intel,95,foundry,44,66,24,42,sells into fabs,"capacity additions and process-node ramps in logic, memory and advanced packaging",INTC capex flows to equipment suppliers
3661.TW,Alchip Technologies,10,custom ASIC / interconnect,79,62,40,22,AI connectivity / chiplet ecosystem peer,"SerDes, PCIe/CXL, Ethernet, ASIC, chiplet and IP interoperability","cash flow varies: components, licenses, or customer-bundled BOM"
3443.TW,Global Unichip,17,custom ASIC / interconnect,72,62,40,22,AI connectivity / chiplet ecosystem peer,"SerDes, PCIe/CXL, Ethernet, ASIC, chiplet and IP interoperability","cash flow varies: components, licenses, or customer-bundled BOM"
ARM,Arm Holdings,22,custom ASIC / interconnect,68,62,40,22,AI connectivity / chiplet ecosystem peer,"SerDes, PCIe/CXL, Ethernet, ASIC, chiplet and IP interoperability","cash flow varies: components, licenses, or customer-bundled BOM"
