rank,group,category,amount_2025_b,share_pct_total,trend_yoy_pct_model,confidence,reasoning,source_tags
1,Accelerators & compute,Hyperscaler training accelerators,21.282744186046507,7.141860465116277,58.0,High,Largest single spend bucket: frontier-model training still clears price through the most expensive accelerator modules.,S1 S2 S3 S4 S12
2,Accelerators & compute,Hyperscaler inference accelerators,17.256279069767437,5.790697674418603,62.0,High,"Inference is scaling rapidly as deployed models serve more users, raising demand for dense accelerator fleets.",S1 S2 S3 S4 S12
3,Accelerators & compute,OEM training accelerators,12.654604651162787,4.246511627906976,44.0,High,Enterprise and OEM training clusters trail hyperscaler scale but still buy high-ASP accelerator systems.,S1 S2 S3 S4 S12
4,Accelerators & compute,OEM inference accelerators,10.928976744186043,3.667441860465115,47.0,High,"Commercial deployments are broadening from pilots to production inference, lifting OEM accelerator demand.",S1 S2 S3 S4 S12
5,HBM,HBM3e high-capacity stacks,10.430000000000001,3.5000000000000004,145.0,High,The highest-bandwidth memory stacks attach to the most expensive training accelerators and capture the richest pricing.,S1 S2 S6 S7 S12
6,HBM,HBM3e mainstream stacks,8.940000000000001,3.0000000000000004,130.0,High,Mainstream HBM3e is scaling with the broad ramp of current-generation AI accelerators.,S1 S2 S6 S7 S12
7,Accelerators & compute,Sovereign-cloud accelerators,8.628139534883719,2.8953488372093017,52.0,High,National and regional AI buildouts are creating a second wave of high-end accelerator purchases.,S1 S2 S3 S4 S12
8,HBM,HBM3e for custom ASICs,7.698333333333334,2.5833333333333335,150.0,High,Custom AI ASICs are adopting HBM aggressively to keep model throughput high.,S1 S2 S6 S7 S12
9,Accelerators & compute,Custom CSP training ASICs,7.4777209302325565,2.509302325581395,72.0,High,"Large cloud providers are increasing in-house silicon to control cost, power, and model-specific optimization.",S1 S2 S3 S4 S12
10,Accelerators & compute,Custom CSP inference ASICs,6.327302325581393,2.123255813953488,78.0,Medium,Custom inference silicon grows faster where token economics reward workload-specific designs.,S1 S2 S3 S4 S12
11,Accelerators & compute,China-compliant accelerators,5.52200930232558,1.8530232558139532,36.0,Medium,"Restrictions cap performance and complicate mix, but compliant products still command meaningful spend.",S1 S2 S3 S4 S12
12,HBM,HBM for sovereign-cloud systems,5.463333333333333,1.8333333333333333,135.0,High,"Sovereign-cloud deployments increasingly require top-tier memory density, not just compute availability.",S1 S2 S6 S7 S12
13,Accelerators & compute,Full-rack accelerator blades,5.176883720930231,1.7372093023255808,80.0,Medium,"Integrated rack-scale systems raise ticket size by bundling compute, networking, and power at the rack level.",S1 S2 S3 S4 S12
14,Accelerators & compute,Modular accelerator trays,4.831758139534883,1.6213953488372088,51.0,Medium,Modular sleds remain a common procurement unit for AI clusters outside the newest full-rack designs.,S1 S2 S3 S4 S12
