rank,line,name,series_type,family,2025,2024,yoy_pct,share_pct_total_pce,reasoning,source_tags
1,49,Housing and utilities,Roll-up,Housing & utilities,3801.214,3603.64,5.482623125506425,18.1400140311146,"Shelter is the core human consumption function, and it absorbs the largest recurring share of household budgets.",H3
2,60,Health care,Roll-up,Health care services,3551.57,3314.991,7.1366407932932585,16.948672090675686,"Medical spending is supported by demographics, chronic care demand, and high labor and facility intensity.",H3
3,50,Housing,Roll-up,Housing & utilities,3310.951,3146.981,5.210390529844311,15.800398924220765,"Shelter is the core human consumption function, and it absorbs the largest recurring share of household budgets.",H3
4,52,Imputed rental of owner-occupied nonfarm housing,Leaf,Housing & utilities,2500.256,2374.185,5.310074825677025,11.931629979627157,"Owner-occupied housing is counted as a service households consume, so shelter dominates even without a cash rent check.",H3
5,65,Hospital and nursing home services,Roll-up,Health care services,1869.196,1742.321,7.2819532106884965,8.920108593439698,"High-acuity care is expensive, labor-intensive, and used steadily across an aging population.",H3
6,95,Other services,Roll-up,Other services,1777.887,1675.793,6.092279893757757,8.484367132641372,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
7,39,Other nondurable goods,Roll-up,Other nondurables,1728.589,1633.141,5.844443315059755,8.249109025177313,"Fast-turn, everyday-use items create large aggregate spend despite modest ticket sizes.",H3
8,86,Financial services and insurance,Roll-up,Financial services & insurance,1689.841,1560.423,8.293776751560312,8.0641972407638,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
9,61,Outpatient services,Roll-up,Health care services,1682.374,1572.669,6.975720892317461,8.028563497235988,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
10,66,Hospitals,Leaf,Health care services,1600.193,1493.606,7.136219324239468,7.636382343243859,"High-acuity care is expensive, labor-intensive, and used steadily across an aging population.",H3
11,26,Food and beverages purchased for off-premises consumption,Roll-up,Food at home,1529.922,1479.572,3.4030111410597197,7.301037654420643,"Groceries are universal, repetitive spending, so even low single-digit growth compounds into very large dollar totals.",H3
12,81,Food services and accommodations,Roll-up,Food away from home,1495.154,1428.965,4.631953896701457,7.13511908002999,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
13,82,Food services,Roll-up,Food away from home,1297.261,1230.773,5.402133455966296,6.1907413636848005,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
14,27,Food and nonalcoholic beverages purchased for off-premises consumption,Leaf,Food at home,1295.144,1250.068,3.6058838399191107,6.180638693931435,"Groceries are universal, repetitive spending, so even low single-digit growth compounds into very large dollar totals.",H3
15,83,Purchased meals and beverages,Leaf,Food away from home,1259.991,1195.899,5.359315460586567,6.012882836661686,"Eating away from home layers wages, rent, and service margins onto basic calorie demand.",H3
16,87,Financial services,Roll-up,Financial services & insurance,1147.483,1041.536,10.172187999262604,5.475976285593359,"Payments, lending, asset management, and deposit intermediation scale with balances and transaction volumes.",H3
17,62,Physician services,Leaf,Health care services,836.724,793.281,5.476369659679237,3.99298358371045,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
18,76,Recreation services,Roll-up,Recreation services,819.215,777.049,5.42642741963506,3.9094277760998324,"Households continue to spend on leisure, media, and entertainment when income and confidence hold up.",H3
19,51,Rental of tenant-occupied nonfarm housing,Leaf,Housing & utilities,776.768,740.336,4.921008839229768,3.706863759557032,Shelter is the most persistent household bill; rents reset slowly but on a very large base.,H3
20,40,Pharmaceutical and other medical products,Leaf,Other nondurables,729.362,677.676,7.626948571293646,3.480634585098815,Prescriptions and medical products combine steady utilization with high branded-product mix.,H3
21,68,Transportation services,Roll-up,Transportation services,703.698,660.506,6.539229015330683,3.358161785594624,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
22,64,Paramedical services,Leaf,Health care services,647.402,593.654,9.053758586651494,3.089508079200922,"Routine care, specialty visits, diagnostics, and therapy make this a high-frequency medical spend.",H3
23,88,Financial services furnished without payment,Leaf,Financial services & insurance,614.497,565.522,8.660140542719796,2.9324800450797635,"Payments, lending, asset management, and deposit intermediation scale with balances and transaction volumes.",H3
24,30,Clothing and footwear,Roll-up,Apparel & footwear,561.764,530.206,5.952026193592674,2.6808295566035123,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
25,90,Insurance,Roll-up,Financial services & insurance,542.358,518.887,4.523335523919458,2.5882209551704407,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
26,89,"Financial service charges, fees, and commissions",Leaf,Financial services & insurance,532.986,476.014,11.96855554668559,2.5434962405135955,"Payments, lending, asset management, and deposit intermediation scale with balances and transaction volumes.",H3
27,55,Household utilities,Roll-up,Housing & utilities,490.262,456.659,7.3584447038161915,2.3396103347305113,"Shelter and utility services are unavoidable household expenses, so they stay large even when growth is modest.",H3
28,31,Garments,Roll-up,Apparel & footwear,437.195,410.901,6.3991083010262795,2.0863659437046027,"Apparel is a steady refresh category shaped by seasons, fashion cycles, and value-channel pricing.",H3
29,14,"Video, audio, photographic, and information processing equipment and media",Leaf,Recreation durables,427.604,402.729,6.176610077744593,2.0405961252801674,"Electronics stay large because computing, media, and device-refresh spending are now everyday household behaviors.",H3
30,36,Gasoline and other energy goods,Roll-up,Energy goods,422.353,440.526,-4.1252956692681035,2.0155374956746304,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines.",H3
31,5,New motor vehicles,Leaf,Vehicles & parts,408.546,394.88,3.4607982171799057,1.9496482366832664,"Vehicles are large-ticket replacement purchases, so price and financing conditions matter as much as unit demand.",H3
32,69,Motor vehicle services,Roll-up,Transportation services,395.178,368.572,7.2186709788046866,1.8858539573904036,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
33,37,"Motor vehicle fuels, lubricants, and fluids",Leaf,Energy goods,393.097,414.263,-5.109314614146088,1.8759230855166418,"Fuel spending moves with miles driven and commodity prices, making it one of the more volatile household goods lines.",H3
34,100,Education services,Roll-up,Other services,363.077,352.222,3.081863143131325,1.7326627425803955,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
35,106,Social services and religious activities,Leaf,Other services,355.378,334.748,6.162844886302521,1.6959218571618024,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
36,57,Electricity and gas,Roll-up,Housing & utilities,343.448,317.04,8.329548321978276,1.6389899487264454,"Utilities are recurring necessities, with weather and regulated pricing driving year-to-year movement.",H3
37,41,Recreational items,Leaf,Other nondurables,334.697,313.676,6.701500911768843,1.597228747492765,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
38,96,Communication,Roll-up,Other services,319.327,309.106,3.306632676169352,1.5238805972286043,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
39,72,Public transportation,Roll-up,Transportation services,308.52,291.934,5.681421143135079,1.4723078282042201,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
40,77,"Membership clubs, sports centers, parks, theaters, and museums",Leaf,Recreation services,305.993,291.217,5.073879615544419,1.4602485714887008,Experience and hobby spending remains durable when consumers feel confident and keep discretionary budgets open.,H3
41,104,Professional and other services,Leaf,Other services,297.71,277.891,7.131933024099357,1.420720742689869,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
42,9,Furniture and furnishings,Leaf,Home durables,293.895,281.899,4.255424815270703,1.4025149396151928,Home setup and replacement cycles keep this tied to household formation and renovation activity.,H3
43,109,Foreign travel by U.S. residents,Leaf,Other services,287.306,269.203,6.724665029735921,1.3710711554843824,"Communications, education, professional help, and social services are diffuse but collectively very large.",H3
44,93,Net health insurance,Leaf,Financial services & insurance,283.461,270.143,4.929981528301686,1.3527221875100364,"Insurance spending rises with underlying asset values, claims costs, and medical utilization.",H3
45,70,Motor vehicle maintenance and repair,Leaf,Transportation services,276.707,257.479,7.467793489954522,1.3204909964310423,"Transport demand follows commuting, travel, freight-linked ticketing, and maintenance of personal mobility.",H3
46,67,Nursing homes,Leaf,Health care services,269.003,248.715,8.157127636049278,1.2837262501958375,"High-acuity care is expensive, labor-intensive, and used steadily across an aging population.",H3
