source_id,bundle,title,url,note,used_for
S01,CPO full bundle,NVIDIA Spectrum-X/Quantum-X Photonics CPO switches,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/,"1.6T per port, ecosystem names, TSMC/Coherent/Corning/Foxconn/Lumentum/SENKO.",AI optical module stack; CPO optical engine stack; NVIDIA Spectrum-X Photonics 2025; NVIDIA/Marvell 2026 ecosystem; advanced packaging stack; silicon photonics substrate stack
S02,CPO full bundle,Broadcom third-generation 200G/lane CPO release,https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo,"200G/lane CPO, first volume-production 100G/lane CPO, partner milestones including Twinstar high-density fiber cables.",AI optical module stack; Broadcom CPO 2025; Broadcom/semiconductor value chain; CPO optical engine stack
S03,CPO full bundle,NVIDIA-Lumentum strategic partnership,https://nvidianews.nvidia.com/news/nvidia-announces-strategic-partnership-with-lumentum-to-develop-state-of-the-art-optics-technology,$2B investment plus multibillion purchase commitment/capacity rights.,NVIDIA-Lumentum 2026
S04,CPO full bundle,NVIDIA-Coherent strategic partnership,https://nvidianews.nvidia.com/news/nvidia-and-coherent-announce-strategic-partnership-to-develop-optics-technology-to-scale-next-generation-data-center-architecture,$2B investment plus multibillion purchase commitment/capacity rights.,AI optical module stack; NVIDIA-Coherent 2026
S05,CPO full bundle,Credo-DustPhotonics acquisition,https://www.nasdaq.com/press-release/credo-agrees-acquire-dustphotonics-accelerating-expansion-silicon-photonics-and-next,$750M cash + shares; SiPho PICs for NPO/CPO; management optical revenue target.,
S06,CPO full bundle,Astera Labs PCIe 6 connectivity portfolio,https://www.globenewswire.com/news-release/2025/05/01/3072869/0/en/Astera-Labs-Ramps-Production-of-PCIe-6-Connectivity-Portfolio-Supercharging-Advanced-AI-and-Cloud-Infrastructure-Deployments.html,"Fabric switches, retimers, active cable modules, PCIe over optics, leading hyperscale/cloud customers.",AI interconnect stack; Astera PCIe 6 release
S07,CPO full bundle,Marvell CPO architecture for custom AI accelerators,https://jp.marvell.com/company/newsroom/marvell-co-packaged-optics-architecture-custom-ai-accelerators.html,"CPO custom XPU architecture, 6.4T 3D SiPho engine, custom XPU density and 10B field hours claim.",Marvell CPO/custom XPU 2025; NVIDIA/Marvell 2026 ecosystem
S08,CPO full bundle,Marvell 1.6T silicon photonics light engine,https://www.marvell.com/company/newsroom/marvell-demonstrates-silicon-photonics-light-engine-for-low-power-rack-scale-interconnect-in-ai-networks.html,1.6T light engine and 6.4T CPO light engine family.,CPO optical engine stack; Marvell 2026 ecosystem
S09,CPO full bundle,MACOM OFC 2026 connectivity showcase,https://ir.macom.com/news-releases/news-release-details/macom-showcase-innovative-connectivity-solutions-ofc-2026,"3.2T optical transmit, 1.6T 200G/lane ecosystem, ACC and LPO.",MACOM OFC 2026
S10,CPO full bundle,POET-LITEON joint development,https://www.poet-technologies.com/news/poet-technologies-and-liteon-announce-joint-development-of-optical-modules-for-ai-applications,"Optical modules for AI/CPO applications, prototypes late 2026, high-volume production anticipated 2027.",POET-LITEON 2026
S11,CPO full bundle,StockAnalysis semiconductor industry list,https://stockanalysis.com/stocks/industry/semiconductors/,Public market caps/revenue for US-listed semiconductor names.,Role-based semiconductor value-chain map
S12,CPO full bundle,StockAnalysis semiconductor equipment/materials list,https://stockanalysis.com/stocks/industry/semiconductor-equipment-and-materials/,Public market caps/revenue for equipment/materials names.,Role-based semiconductor value-chain map; advanced packaging stack; semicap value chain
S13,CPO full bundle,CompaniesMarketCap semiconductor ranking,https://companiesmarketcap.com/semiconductors/largest-semiconductor-companies-by-market-cap/,Global public semiconductor market-cap universe.,Role-based semiconductor value-chain map; advanced packaging stack; semicap value chain; silicon photonics substrate stack
S14,CPO full bundle,Wolfspeed CFIUS clearance and Renesas equity issuance,https://investor.wolfspeed.com/news/news-details/2026/Wolfspeed-Announces-CFIUS-Clearance-and-Completion-of-Equity-Issuance-to-Renesas-as-Part-of-Court-Approved-Restructuring/default.aspx,"Official Wolfspeed release on CFIUS clearance, Renesas equity issuance, board seat, and restructuring completion.",Wolfspeed/Renesas restructuring 2026
S15,CPO full bundle,Renesas restructuring support agreement with Wolfspeed,https://www.renesas.com/en/about/newsroom/renesas-announces-expected-loss-resulting-signing-restructuring-support-agreement-wolfspeed,"Official Renesas release describing the Wolfspeed restructuring support agreement, deposit conversion, notes, common stock, and warrants.",Wolfspeed/Renesas restructuring 2026
BUNDLE-CPO,CPO full bundle,CPO semiconductor alpha bundle archive,/reports/semiconductor-alpha-cpo/raw/cpo_semiconductor_full_research_bundle/cpo_semiconductor_alpha_map.html,Original interactive HTML map from the bundle.,"Ranking, network map, cash-flow caveats and CSV exports."
BUNDLE-BROAD,Broad semiconductor-alpha bundle,Semiconductor alpha relationship map archive,/reports/semiconductor-alpha-cpo/raw/semiconductor_alpha_relationship_map.html,Original interactive dashboard from the broad semiconductor-alpha bundle.,"Broad ranking, relationship layers and source-note confidence labels."
CSV-CPO,CPO full bundle,CPO 100-company alpha ranking CSV,/reports/semiconductor-alpha-cpo/raw/cpo_semiconductor_full_research_bundle/cpo_semiconductor_alpha_companies.csv,Original CPO company-level ranking.,"CPO score, CPO rank, exposure, optionality and thesis/risk fields."
CSV-BROAD,Broad semiconductor-alpha bundle,Broad semiconductor 100-company alpha ranking CSV,/reports/semiconductor-alpha-cpo/raw/semiconductor_alpha_companies.csv,Original broad semiconductor-alpha ranking.,"Broad alpha score, market cap, revenue, P/S, connection count and notes."
