evidence,edge_count,share_pct
company reports + equipment supply chain,524,21.64
public filings + supply-chain map,440,18.17
industry map,312,12.88
coverage-completion edge based on segment map,302,12.47
mapped public-company AI semiconductor supply-chain relationship; cash-flow amount usually not disclosed unless separately cited,191,7.89
public filings + market map,140,5.78
company reports + materials supply chain,112,4.62
OSAT supply-chain map,96,3.96
product/industry map,72,2.97
Micron/SK hynix + packaging supply-chain map,72,2.97
equipment supply chain,64,2.64
NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,33,1.36
public memory-market disclosures,6,0.25
public memory capex supply chain,4,0.17
public fab supply-chain map,4,0.17
public equipment/customer map,3,0.12
public product disclosures,3,0.12
public equipment/fab supply-chain map,3,0.12
public product map,2,0.08
public supply-chain map,2,0.08
NVIDIA names SK hynix; SK reports AI-led HBM demand,1,0.04
Hanmi/HBM ecosystem public market map,1,0.04
AI memory supply-chain inference and vendor disclosures,1,0.04
NVIDIA names Micron; Micron reports HBM/data-center records,1,0.04
AMD AI memory ecosystem + Micron disclosures,1,0.04
AMD Q1 FY26 results and AMD Form 10-K,1,0.04
Samsung Q1 2026 results and NVIDIA Form 10-K,1,0.04
public foundry disclosures,1,0.04
Broadcom Form 10-K names Amkor,1,0.04
Broadcom and NVIDIA filings,1,0.04
Broadcom Form 10-K names TSMC as foundry supplier,1,0.04
Broadcom Form 10-K names ASE/SPIL as suppliers,1,0.04
public AI semiconductor supply-chain map,1,0.04
Broadcom and AMD public disclosures,1,0.04
AMD Form 10-K names GlobalFoundries for larger than 7nm nodes,1,0.04
AMD Form 10-K and Q1 FY26 results mention Samsung collaboration,1,0.04
AMD Form 10-K discloses KYEC as ATMP provider,1,0.04
AMD Form 10-K discloses Tongfu JV/ATMP dependence,1,0.04
public products and filings,1,0.04
AMD Form 10-K names TSMC for all 7nm-and-smaller microprocessor/GPU wafers,1,0.04
AMD Form 10-K names UMC,1,0.04
AI accelerator supply-chain inference plus memory vendor disclosures,1,0.04
AMD/Broadcom public AI disclosures,1,0.04
AMD Form 10-K names SPIL and other OSAT providers,1,0.04
NVIDIA Form 10-K names SK hynix as memory supplier; SK hynix reports HBM AI demand,1,0.04
NVIDIA Form 10-K names Micron as memory supplier; Micron reports HBM/data-center demand,1,0.04
NVIDIA Form 10-K names Samsung as foundry and memory supplier,1,0.04
NVIDIA and AMD public disclosures,1,0.04
NVIDIA Form 10-K names TSMC as foundry supplier,1,0.04
NVIDIA Form 10-K discloses subcontractor assembly/test dependence,1,0.04
NVIDIA and Broadcom filings disclose overlapping AI/data-center products,1,0.04
supply chain map + equipment chokepoint,1,0.04
NVIDIA Form 10-K discloses reliance on assembly/test/subcontractors,1,0.04
public segment disclosures,1,0.04
public data-center supply chain,1,0.04
Intel foundry strategy depends on advanced-node tooling,1,0.04
public foundry market disclosures,1,0.04
