company,company_name,connection,connection_name,type,layer,depth,use_for,cash_flow,confidence,source_note
000660.KS,SK hynix,AMD,Advanced Micro Devices,customer/supplier ecosystem,HBM / DRAM / AI servers,1,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,AVGO,Broadcom,customer/supplier ecosystem,HBM / DRAM / AI servers,1,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,MRVL,Marvell Technology,customer/supplier ecosystem,HBM / DRAM / AI servers,1,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,NVDA,NVIDIA,customer/supplier ecosystem,HBM / DRAM / AI servers,1,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,ASX,ASE Technology,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,ASML,ASML Holding,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,6857.T,Advantest,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,AMKR,Amkor Technology,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,AMAT,Applied Materials,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,BESI.AS,BE Semiconductor Industries,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,DISCO,DISCO,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,FORM,FormFactor,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,042700.KS,Hanmi Semiconductor,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,KLAC,KLA,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,LRCX,Lam Research,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,TPRO.MI,Technoprobe,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,8035.T,Tokyo Electron,customer/supplier ecosystem,HBM / DRAM / AI servers,2,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,MU,Micron Technology,customer/supplier ecosystem,HBM / DRAM / AI servers,3,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,2408.TW,Nanya Technology,customer/supplier ecosystem,HBM / DRAM / AI servers,3,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,005930.KS,Samsung Electronics,customer/supplier ecosystem,HBM / DRAM / AI servers,3,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,TSM,Taiwan Semiconductor Manufacturing,customer/supplier ecosystem,HBM / DRAM / AI servers,3,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,Amazon AWS,Amazon AWS,customer/supplier ecosystem,HBM / DRAM / AI servers,4,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,Google Cloud,Google Cloud,customer/supplier ecosystem,HBM / DRAM / AI servers,4,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,Meta AI,Meta AI,customer/supplier ecosystem,HBM / DRAM / AI servers,4,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
000660.KS,SK hynix,Microsoft Azure,Microsoft Azure,customer/supplier ecosystem,HBM / DRAM / AI servers,4,"HBM/DRAM/NAND content for AI accelerators, CPUs, servers or fabrication of memory devices","Memory ASPs, bit shipments, HBM premium mix, packaging/test capex and inventory-cycle cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,AMD,Advanced Micro Devices,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,3661.TW,Alchip Technologies,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,Amazon AWS,Amazon AWS,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,AAOI,Applied Optoelectronics,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,ARM,Arm Holdings,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,ALAB,Astera Labs,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,AVGO,Broadcom,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,COHR,Coherent,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,CRDO,Credo Technology,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,ENA.V,Enablence Technologies,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,3443.TW,Global Unichip,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,GFS,GlobalFoundries,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,GFS,GlobalFoundries,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,GFS,GlobalFoundries,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,6488.TWO,GlobalWafers,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,Google Cloud,Google Cloud,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,1347.HK,Hua Hong Semiconductor,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,1347.HK,Hua Hong Semiconductor,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,INTC,Intel,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,INTC,Intel,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,INTC,Intel,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,LITE,Lumentum,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,MTSI,MACOM Technology Solutions,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,MRVL,Marvell Technology,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,2454.TW,MediaTek,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,Meta AI,Meta AI,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,MU,Micron Technology,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,Microsoft Azure,Microsoft Azure,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,NVDA,NVIDIA,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,OpenAI/xAI AI clusters,OpenAI/xAI AI clusters,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,PDFS,PDF Solutions,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,POET,POET Technologies,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,QCOM,Qualcomm,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,000660.KS,SK hynix,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,0981.HK,SMIC,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,0981.HK,SMIC,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,005930.KS,Samsung Electronics,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,005930.KS,Samsung Electronics,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,005930.KS,Samsung Electronics,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,SMTC,Semtech,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,SIVE.ST,Sivers Semiconductors,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,SKYT,SkyWater Technology,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,SKYT,SkyWater Technology,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,TSM,Taiwan Semiconductor Manufacturing,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,TSM,Taiwan Semiconductor Manufacturing,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,TSM,Taiwan Semiconductor Manufacturing,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,TSEM,Tower Semiconductor,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,TSEM,Tower Semiconductor,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,TSEM,Tower Semiconductor,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,UMC,United Microelectronics,fab/IDM/OSAT customer,Fab capex customer,1,tools/subsystems/metrology/test for wafer-fab or packaging capacity,"Equipment sales, service/spares, upgrades and utilization-sensitive cash flow",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,UMC,United Microelectronics,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,UMC,United Microelectronics,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,5347.TWO,Vanguard International Semiconductor,qualified materials/substrates supplier,Materials -> fab,1,wafers/substrates/consumables feeding fab process flows,"Materials revenue from qualified volume, ASP and long-term supply contracts",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,300308.SZ,Zhongji Innolight,compound/photonic material ecosystem,Materials -> photonics,1,"substrates or material platforms for lasers, SiPh, PICs or optical modules",Substrate/material sales; qualification-driven revenue visibility,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,3529.TWO,eMemory Technology,EDA/IP/customer ecosystem,Design enablement,1,"chip design, verification, embedded IP, yield learning or custom ASIC enablement","Subscriptions, licenses, royalties, support and design-services revenue",ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,ACMR,ACM Research,process-flow peer / complementary supplier,Tool chain,2,"adjacent process steps in advanced logic, memory or packaging flows",Capex wallet share and tool attach/service opportunities,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
002371.SZ,NAURA Technology,ASM.AS,ASM International,process-flow peer / complementary supplier,Tool chain,2,"adjacent process steps in advanced logic, memory or packaging flows",Capex wallet share and tool attach/service opportunities,ECOSYSTEM-INFERRED,Public ecosystem mapping; verify contract-specific exposure in filings.
