global_rank,region_rank,region,ticker,company,country,exchange,theme,latent_ai_asset,market_cap_bucket,ai_visibility,alpha_score,latent_fit,discovery_gap,valuation_gap,catalyst_density,execution_quality,hype_penalty,conviction,thesis,catalysts,risks,source_keys,latest_price,latest_currency,latest_market_cap_usd,latest_market_cap_usd_b,latest_ytd_return_pct,market_data_as_of,market_data_source,base_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
1,1,US,BDC,Belden,United States,NYSE,Connectivity & IT/OT,"Industrial data networking, fiber/copper connectivity and edge infrastructure",Mid,Emerging,94.7,23,17,15,18,12,1,High,"A quiet backbone of IT/OT convergence: industrial networks, mission-critical data movement and fiber/copper links can become the data layer for edge AI and AI-era factories.",Factory data layer upgrades; data-center/network cabling demand; margin mix shift toward solutions.,Industrial cycle; inventory digestion; competition from larger network vendors.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;BELDEN_IR,118.37,USD,4738000000.0,4.738,0.48,2026-06-23,https://finance.yahoo.com/quote/BDC/,84.7,0.0,84.7,10.0,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
2,1,Non-US,VLX.L,Volex,United Kingdom,LSE AIM,Connectivity & Photonics,"High-speed copper interconnects, power cords and connectors",Small-Mid,Emerging,93.8,24,16,15,18,11,2,High,"A neglected AIM-listed cable/interconnect maker supplying 400G/800G/emerging 1.6T data-centre links, with diversified industrial and EV exposure.",1.6T interconnect adoption; hyperscale demand; operating margin target delivery.,Customer concentration; M&A leverage; UK small-cap discount.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;VOLEX_DC;VOLEX_RESULTS,586.0,GBp,1453239289.66,1.453,41.89,2026-06-23,https://finance.yahoo.com/quote/VLX.L/,83.8,0.0,83.8,10.0,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
3,2,US,ENS,EnerSys,United States,NYSE,Power & Grid,"Batteries, UPS backup and stored-energy systems",Mid,Latent,92.6,22,18,16,17,12,1,High,"AI data centers need resilient power, ride-through and backup energy; EnerSys is a power reliability supplier that is not generally treated as an AI stock.",UPS refresh cycle; grid constraints; reserve-power margin expansion.,Lead/lithium input costs; telecom capex; execution on newer energy systems.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;ENERSYS_IR,227.275,USD,8506450042.0,8.506,50.78,2026-06-23,https://finance.yahoo.com/quote/ENS/,84.6,0.0,84.6,8.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +8.0 after cap/YTD discipline."
4,3,US,ITRI,Itron,United States,NASDAQ,Power & Grid,"Smart meters, grid endpoints and utility data networks",Mid,Latent,90.3,22,17,15,17,12,1,High,The AI power bottleneck increases the value of granular grid telemetry; Itron owns installed endpoints and software needed for demand response and grid visibility.,AMI rollouts; utility resilience spending; water/energy analytics attach.,Utility procurement delays; hardware margins; project concentration.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;ITRON_IR,81.65,USD,3599000000.0,3.599,-13.57,2026-06-23,https://finance.yahoo.com/quote/ITRI/,83.5,0.0,83.5,6.8,power_grid,AI 2027/current overlay: power_grid; bonus +6.8 after cap/YTD discipline.
5,2,Non-US,TWEKA.AS,TKH Group,Netherlands,Euronext Amsterdam,Connectivity & Automation,"Vision systems, fiber/connectivity and electrification assets",Mid,Latent,90.0,22,17,15,16,11,1,High,"A Dutch portfolio of machine vision, connectivity and electrification assets; the planned separation can crystallize hidden AI-adjacent value.",Automation/electrification separation; non-core divestments; machine-vision recovery.,Portfolio complexity; European industrial softness; execution of separation.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;TKH_IR,43.3,EUR,2030108437.25,2.03,16.15,2026-06-23,https://finance.yahoo.com/quote/TWEKA.AS/,80.0,0.0,80.0,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
6,3,Non-US,CRL.MI,CAREL Industries,Italy,Borsa Italiana,Thermal & Water,HVAC/refrigeration controls and data-center cooling controls,Mid,Emerging,89.0,22,16,15,16,12,2,High,"Cooling controls can be the intelligence layer for high-density data centers, yet CAREL is still mostly viewed as HVAC/refrigeration automation.",U.S. HVAC strength; data-center controls; energy-efficiency regulation.,European cycle; family/controlled liquidity; competition from larger HVAC controls.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;CAREL_IR,29.25,EUR,3751553302.79,3.752,22.13,2026-06-23,https://finance.yahoo.com/quote/CRL.MI/,79.0,0.0,79.0,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
7,4,US,IPGP,IPG Photonics,United States,NASDAQ,Connectivity & Photonics,Fiber lasers and amplifiers for precision manufacturing,Mid,Latent,88.7,21,18,16,14,10,1,Medium,"Fiber lasers are not an AI model, but advanced manufacturing, photonics and sensor systems can pull IPG into AI-enabled industrial production.",Industrial capex recovery; laser welding/cutting automation; photonics optionality.,China competition; cyclical industrial demand; margin pressure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;IPGP_IR,109.29,USD,5020000000.0,5.02,46.03,2026-06-23,https://finance.yahoo.com/quote/IPGP/,78.7,0.0,78.7,10.0,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
8,5,US,OSIS,OSI Systems,United States,NASDAQ,Sensors & Security,"Inspection, imaging and security scanning systems",Mid,Latent,88.3,21,17,14,15,11,1,Medium,Security/scanning hardware creates high-value imaging data; AI inference can improve inspection throughput without OSI being priced as an AI platform.,Port/security modernization; defense and border spending; software attach.,Government-contract timing; export controls; backlog conversion.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,218.655,USD,3717000000.0,3.717,-14.45,2026-06-23,https://finance.yahoo.com/quote/OSIS/,78.3,0.0,78.3,10.0,"packaging_memory_test,power_grid,security_sovereign","AI 2027/current overlay: packaging_memory_test,power_grid,security_sovereign; bonus +10.0 after cap/YTD discipline."
9,4,Non-US,SENS.SW,Sensirion,Switzerland,SIX,Sensors & Measurement,"Flow, humidity, gas and environmental sensors",Small-Mid,Latent,88.3,21,17,14,16,12,1,High,"Environmental sensors are the measurement layer for cooling, HVAC, robotics and edge AI; Sensirion is a high-quality niche sensor company.",A2L/HVAC sensors; industrial sensing; medical/auto design wins.,Swiss franc; premium quality multiple; product-cycle timing.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;SENSIRION_IR,82.7,CHF,1662271726.82,1.662,33.39,2026-06-23,https://finance.yahoo.com/quote/SENS.SW/,78.3,0.0,78.3,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
10,6,US,ROG,Rogers,United States,NYSE,Semi/Advanced Materials,"Thermal, high-frequency and power-electronics materials",Small-Mid,Latent,86.0,22,18,16,15,10,1,High,"Materials that dissipate heat and route high-speed/power signals can matter to AI accelerators, power electronics and RF systems; sentiment remains cyclical and activist-sensitive.",Electronics recovery; activist pressure; thermal-interface and aerospace/defense demand.,Weak wireless/EV cycles; small scale; execution after management changes.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;ROGERS_IR,163.165,USD,2971959562.0,2.972,77.41,2026-06-23,https://finance.yahoo.com/quote/ROG/,80.7,0.2,80.5,5.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +5.5 after cap/YTD discipline."
