company,ticker,listing,domicile,layer,thesis_key,ai,bottleneck,centrality,hidden,catalyst,trace,ai_n,bottleneck_n,centrality_n,hidden_n,catalyst_n,alpha_score,evidence_grade,tags,summary,rank,latest_price,latest_currency,market_cap_usd_b,ytd_return_pct,market_data_as_of,market_data_source,base_residual_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
Wistron,3231,TWSE: 3231,Taiwan,ODM / infrastructure,AI supercomputing and server manufacturing leverage,4,4,4,4,4,0.7,0.8,0.8,0.8,0.8,0.8,100.0,A-,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node","AI supercomputing and server manufacturing leverage; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",1,158.5,TWD,16.33,2.26,2026-06-23,https://finance.yahoo.com/quote/3231.TW/,,,100.0,4.0,compute_factory,AI 2027/current overlay: compute_factory; bonus +4.0 after cap/YTD discipline.
Legrand,LR,EPA: LR,France,Power distribution,"Busway, PDU and electrical distribution leverage",4,4,4,3,3,0.4,0.8,0.8,0.8,0.6,0.6,100.0,C+,"tight-supply, AI-adjacent, central-node","Busway, PDU and electrical distribution leverage; tight-supply, AI-adjacent, central-node.",2,146.8,EUR,45.83,14.87,2026-06-23,https://finance.yahoo.com/quote/LR.PA/,,,97.2,4.3,power_grid,AI 2027/current overlay: power_grid; bonus +4.3 after cap/YTD discipline.
HD Hyundai Electric,267260,KRX: 267260,South Korea,Transformers / switchgear,Grid bottleneck transformer exposure,4,5,4,4,3,0.4,0.8,1.0,0.8,0.8,0.6,100.0,C+,"bottleneck, AI-adjacent, underfollowed, central-node","Grid bottleneck transformer exposure; bottleneck, AI-adjacent, underfollowed, central-node.",3,949000.0,KRW,26.03,15.87,2026-06-23,https://finance.yahoo.com/quote/267260.KS/,,,100.0,10.0,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
discoverIE Group,DSCV,LSE: DSCV,United Kingdom,Power / connectivity,Underfollowed power and connectivity exposure,3,3,3,5,3,0.4,0.6,0.6,0.6,1.0,0.6,100.0,C+,hidden-gem,Underfollowed power and connectivity exposure; hidden-gem.,4,696.0,GBp,0.91,17.77,2026-06-23,https://finance.yahoo.com/quote/DSCV.L/,,,100.0,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
Nexans,NEX,EPA: NEX,France,Cabling,Grid and data-center power cabling leverage,3,5,4,3,3,0.3,0.6,1.0,0.8,0.6,0.6,100.0,C,"bottleneck, central-node","Grid and data-center power cabling leverage; bottleneck, central-node.",5,151.2,EUR,7.92,17.85,2026-06-23,https://finance.yahoo.com/quote/NEX.PA/,,,100.0,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
Schneider Electric,SU,EPA: SU,France,Power / cooling,AI factory power and cooling reference architecture,5,5,5,2,4,0.7,1.0,1.0,1.0,0.4,0.8,100.0,A-,"bottleneck, direct-AI, 2026-catalyst, hard-to-substitute","AI factory power and cooling reference architecture; bottleneck, direct-AI, 2026-catalyst, hard-to-substitute.",6,279.5,EUR,178.92,17.91,2026-06-23,https://finance.yahoo.com/quote/SU.PA/,,,100.0,7.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +7.0 after cap/YTD discipline."
Sumida,6817,TSE: 6817,Japan,Inductors,Magnetics and inductors for power conversion,4,4,4,5,3,1.0,0.8,0.8,0.8,1.0,0.6,100.0,A,"tight-supply, AI-adjacent, hidden-gem, central-node","Magnetics and inductors for power conversion; tight-supply, AI-adjacent, hidden-gem, central-node.",7,1394.0,JPY,0.29,20.59,2026-06-23,https://finance.yahoo.com/quote/6817.T/,,,100.0,7.0,power_grid,AI 2027/current overlay: power_grid; bonus +7.0 after cap/YTD discipline.
Fuji Electric,6504,TSE: 6504,Japan,Power electronics,Power semis and power systems leverage,4,4,4,3,3,0.4,0.8,0.8,0.8,0.6,0.6,100.0,C+,"tight-supply, AI-adjacent, central-node","Power semis and power systems leverage; tight-supply, AI-adjacent, central-node.",8,14600.0,JPY,13.49,20.76,2026-06-23,https://finance.yahoo.com/quote/6504.T/,,,100.0,5.5,power_grid,AI 2027/current overlay: power_grid; bonus +5.5 after cap/YTD discipline.
LITEON Technology,2301,TWSE: 2301,Taiwan,Power supplies,AI server power and 110kW power shelf at GTC 2026,5,5,4,4,5,0.6,1.0,1.0,0.8,0.8,1.0,100.0,B+,"bottleneck, direct-AI, underfollowed, near-term-catalyst, central-node","AI server power and 110kW power shelf at GTC 2026; bottleneck, direct-AI, underfollowed, near-term-catalyst, central-node.",9,223.5,TWD,16.60,33.83,2026-06-23,https://finance.yahoo.com/quote/2301.TW/,,,100.0,9.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +9.5 after cap/YTD discipline."
AcBel Polytech,6282,TWSE: 6282,Taiwan,Power supplies,Server power supplies and high-density power conversion,4,5,4,5,4,0.6,0.8,1.0,0.8,1.0,0.8,100.0,B+,"bottleneck, AI-adjacent, hidden-gem, 2026-catalyst, central-node","Server power supplies and high-density power conversion; bottleneck, AI-adjacent, hidden-gem, 2026-catalyst, central-node.",10,61.5,TWD,1.73,40.41,2026-06-23,https://finance.yahoo.com/quote/6282.TW/,,,100.0,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
Prysmian,PRY,BIT: PRY,Italy,Cabling,Grid and interconnect cabling for power bottlenecks,3,5,4,2,3,0.3,0.6,1.0,0.8,0.4,0.6,100.0,C,"bottleneck, central-node","Grid and interconnect cabling for power bottlenecks; bottleneck, central-node.",11,148.35,EUR,51.46,65.05,2026-06-23,https://finance.yahoo.com/quote/PRY.MI/,,,100.0,6.3,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +6.3 after cap/YTD discipline."
Tripod Technology,3044,TWSE: 3044,Taiwan,PCB,Server/networking PCB leverage,3,4,4,4,3,0.5,0.6,0.8,0.8,0.8,0.6,100.0,B,"tight-supply, underfollowed, central-node","Server/networking PCB leverage; tight-supply, underfollowed, central-node.",12,531.0,TWD,9.40,69.92,2026-06-23,https://finance.yahoo.com/quote/3044.TW/,,,100.0,7.0,"compute_factory,packaging_memory_test","AI 2027/current overlay: compute_factory,packaging_memory_test; bonus +7.0 after cap/YTD discipline."
Sumitomo Electric,5802,TSE: 5802,Japan,Cables / optics,Power cable and optical interconnect leverage,4,4,4,3,3,0.3,0.8,0.8,0.8,0.6,0.6,100.0,C,"tight-supply, AI-adjacent, central-node","Power cable and optical interconnect leverage; tight-supply, AI-adjacent, central-node.",13,12595.0,JPY,65.28,87.7,2026-06-23,https://finance.yahoo.com/quote/5802.T/,,,100.0,7.8,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +7.8 after cap/YTD discipline."
Hyosung Heavy Industries,298040,KRX: 298040,South Korea,Transformers / switchgear,Transformer and grid equipment leverage,4,5,4,4,3,0.4,0.8,1.0,0.8,0.8,0.6,100.0,C+,"bottleneck, AI-adjacent, underfollowed, central-node","Transformer and grid equipment leverage; bottleneck, AI-adjacent, underfollowed, central-node.",14,3616000.0,KRW,24.99,95.99,2026-06-23,https://finance.yahoo.com/quote/298040.KS/,,,100.0,8.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +8.3 after cap/YTD discipline."
LS ELECTRIC,010120,KRX: 010120,South Korea,Switchgear / automation,Switchgear and electrical distribution exposure,4,5,4,4,3,0.4,0.8,1.0,0.8,0.8,0.6,100.0,C+,"bottleneck, AI-adjacent, underfollowed, central-node","Switchgear and electrical distribution exposure; bottleneck, AI-adjacent, underfollowed, central-node.",15,232500.0,KRW,25.52,136.04,2026-06-23,https://finance.yahoo.com/quote/010120.KS/,,,100.0,5.3,"compute_factory,physical_ai,power_grid","AI 2027/current overlay: compute_factory,physical_ai,power_grid; bonus +5.3 after cap/YTD discipline."
Mitsubishi Electric,6503,TSE: 6503,Japan,Factory / power,Electrical equipment and automation leverage,4,4,4,2,3,0.4,0.8,0.8,0.8,0.4,0.6,97.7,C+,"tight-supply, AI-adjacent, central-node","Electrical equipment and automation leverage; tight-supply, AI-adjacent, central-node.",16,6104.0,JPY,78.45,27.43,2026-06-23,https://finance.yahoo.com/quote/6503.T/,,,93.4,4.3,power_grid,AI 2027/current overlay: power_grid; bonus +4.3 after cap/YTD discipline.
Fabrinet,FN,NYSE: FN,Cayman Islands / Thailand,Optics manufacturing,Optics manufacturing leverage for AI networking,4,3,4,3,4,0.4,0.8,0.6,0.8,0.6,0.8,97.5,C+,"AI-adjacent, 2026-catalyst, central-node","Optics manufacturing leverage for AI networking; AI-adjacent, 2026-catalyst, central-node.",17,583.62,USD,22.11,21.73,2026-06-23,https://finance.yahoo.com/quote/FN/,,,93.5,4.0,compute_factory,AI 2027/current overlay: compute_factory; bonus +4.0 after cap/YTD discipline.
Siemens Energy,ENR,XETRA: ENR,Germany,Power generation / grid,Utility and power bottleneck exposure,4,5,4,3,3,0.4,0.8,1.0,0.8,0.6,0.6,97.2,C+,"bottleneck, AI-adjacent, central-node","Utility and power bottleneck exposure; bottleneck, AI-adjacent, central-node.",18,162.5,EUR,163.80,32.33,2026-06-23,https://finance.yahoo.com/quote/ENR.DE/,,,94.2,3.0,power_grid,AI 2027/current overlay: power_grid; bonus +3.0 after cap/YTD discipline.
Celestica,CLS,TSX/NYSE: CLS,Canada,Networking / integration,Helios rack-scale AI and 1.6T switch exposure,5,4,4,3,5,0.7,1.0,0.8,0.8,0.6,1.0,96.0,A-,"tight-supply, direct-AI, near-term-catalyst, central-node","Helios rack-scale AI and 1.6T switch exposure; tight-supply, direct-AI, near-term-catalyst, central-node.",19,356.115,USD,40.92,17.76,2026-06-23,https://finance.yahoo.com/quote/CLS/,,,93.2,2.8,compute_factory,AI 2027/current overlay: compute_factory; bonus +2.8 after cap/YTD discipline.
TT Electronics,TTG,LSE: TTG,United Kingdom,Passives / sensing,"Current sense, thin/thick film resistor exposure",4,4,4,5,3,1.0,0.8,0.8,0.8,1.0,0.6,95.6,A,"tight-supply, AI-adjacent, hidden-gem, central-node","Current sense, thin/thick film resistor exposure; tight-supply, AI-adjacent, hidden-gem, central-node.",20,116.4,GBp,0.27,-1.36,2026-06-23,https://finance.yahoo.com/quote/TTG.L/,,,93.3,2.3,,AI 2027/current overlay: no direct factor; bonus +2.3 after cap/YTD discipline.
Delta Electronics,2308,TWSE: 2308,Taiwan,Power delivery / racks,AI server power shelves and Rubin-era rack power,5,5,5,4,5,0.7,1.0,1.0,1.0,0.8,1.0,94.0,A-,"bottleneck, direct-AI, underfollowed, near-term-catalyst, hard-to-substitute","AI server power shelves and Rubin-era rack power; bottleneck, direct-AI, underfollowed, near-term-catalyst, hard-to-substitute.",21,2080.0,TWD,198.23,109.05,2026-06-23,https://finance.yahoo.com/quote/2308.TW/,,,95.0,-1.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -1.0 after cap/YTD discipline."
Nichicon,6996,TSE: 6996,Japan,Passives,Electrolytic capacitor leverage in AI/server power,4,4,4,4,3,1.0,0.8,0.8,0.8,0.8,0.6,93.8,A,"tight-supply, AI-adjacent, underfollowed, central-node","Electrolytic capacitor leverage in AI/server power; tight-supply, AI-adjacent, underfollowed, central-node.",22,4210.0,JPY,1.88,154.07,2026-06-23,https://finance.yahoo.com/quote/6996.T/,,,95.3,-1.5,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -1.5 after cap/YTD discipline."
ABB,ABBN,SWX: ABBN,Switzerland,Electrification,Grid and electrification bottleneck exposure,4,5,4,2,3,0.4,0.8,1.0,0.8,0.4,0.6,93.4,C+,"bottleneck, AI-adjacent, central-node","Grid and electrification bottleneck exposure; bottleneck, AI-adjacent, central-node.",23,86.1,CHF,198.36,40.59,2026-06-23,https://finance.yahoo.com/quote/ABBN.SW/,,,90.4,3.0,power_grid,AI 2027/current overlay: power_grid; bonus +3.0 after cap/YTD discipline.
Inventec,2356,TWSE: 2356,Taiwan,ODM,Server and cloud hardware manufacturing,4,4,4,4,4,0.6,0.8,0.8,0.8,0.8,0.8,89.7,B+,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node","Server and cloud hardware manufacturing; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",24,66.1,TWD,7.69,48.37,2026-06-23,https://finance.yahoo.com/quote/2356.TW/,,,85.2,4.5,compute_factory,AI 2027/current overlay: compute_factory; bonus +4.5 after cap/YTD discipline.
TDK,6762,TSE: 6762,Japan,Passives,"MLCCs, inductors, filters and AI power topology exposure",5,5,4,2,4,1.0,1.0,1.0,0.8,0.4,0.8,86.2,A,"bottleneck, direct-AI, 2026-catalyst, central-node","MLCCs, inductors, filters and AI power topology exposure; bottleneck, direct-AI, 2026-catalyst, central-node.",25,3943.0,JPY,45.07,75.24,2026-06-23,https://finance.yahoo.com/quote/6762.T/,,,86.9,-0.7,power_grid,AI 2027/current overlay: power_grid; bonus -0.7 after cap/YTD discipline.
NKT,NKT,CPH: NKT,Denmark,Cabling,Underfollowed high-voltage cable exposure,3,5,4,4,3,0.3,0.6,1.0,0.8,0.8,0.6,79.2,C,"bottleneck, underfollowed, central-node","Underfollowed high-voltage cable exposure; bottleneck, underfollowed, central-node.",26,1013.0,DKK,8.65,22.94,2026-06-23,https://finance.yahoo.com/quote/NKT.CO/,,,78.7,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
Quanta Computer,2382,TWSE: 2382,Taiwan,ODM / racks,QCT rack integration and AI data-center platforms,5,4,4,3,4,0.7,1.0,0.8,0.8,0.6,0.8,69.1,A-,"tight-supply, direct-AI, 2026-catalyst, central-node","QCT rack integration and AI data-center platforms; tight-supply, direct-AI, 2026-catalyst, central-node.",27,372.5,TWD,46.29,34.48,2026-06-23,https://finance.yahoo.com/quote/2382.TW/,,,70.3,-1.2,,AI 2027/current overlay: no direct factor; bonus -1.2 after cap/YTD discipline.
Wiwynn,6669,TWSE: 6669,Taiwan,ODM / racks,Direct NVIDIA Rubin AI infrastructure exposure,5,4,4,4,5,0.7,1.0,0.8,0.8,0.8,1.0,65.8,A-,"tight-supply, direct-AI, underfollowed, near-term-catalyst, central-node","Direct NVIDIA Rubin AI infrastructure exposure; tight-supply, direct-AI, underfollowed, near-term-catalyst, central-node.",28,4675.0,TWD,85.53,213.06,2026-06-23,https://finance.yahoo.com/quote/6669.TW/,,,79.0,-13.2,,AI 2027/current overlay: no direct factor; bonus -13.2 after cap/YTD discipline.
ROHM,6963,TSE: 6963,Japan,Resistors / power semis,Current sense and resistor exposure,4,4,4,3,3,1.0,0.8,0.8,0.8,0.6,0.6,63.0,A,"tight-supply, AI-adjacent, central-node","Current sense and resistor exposure; tight-supply, AI-adjacent, central-node.",29,5444.0,JPY,13.60,139.03,2026-06-23,https://finance.yahoo.com/quote/6963.T/,,,65.5,-2.5,power_grid,AI 2027/current overlay: power_grid; bonus -2.5 after cap/YTD discipline.
Kyocera,6971,TSE: 6971,Japan,Passives,"AVX-taut bottlenecks across tantalum, ceramic and specialty capacitors",4,5,4,2,3,1.0,0.8,1.0,0.8,0.4,0.6,62.0,A,"bottleneck, AI-adjacent, central-node","AVX-taut bottlenecks across tantalum, ceramic and specialty capacitors; bottleneck, AI-adjacent, central-node.",30,3593.0,JPY,30.60,61.01,2026-06-23,https://finance.yahoo.com/quote/6971.T/,,,65.2,-3.2,,AI 2027/current overlay: no direct factor; bonus -3.2 after cap/YTD discipline.
