topic,source,url,notes
NVIDIA supply chain and AI revenue,NVIDIA FY2026 Form 10-K / results,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,"Discloses fabless model, TSMC/Samsung wafer supply, memory vendors, CoWoS/assembly/test dependencies and FY26 data-center revenue."
AMD foundry/ATMP and customer demand,AMD FY2025 Form 10-K and Q1 FY26 results,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,"Discloses TSMC, GlobalFoundries, UMC, Samsung, Tongfu JV, SPIL and KYEC relationships; results disclose data-center momentum and hyperscaler deployments."
Intel foundry and segment economics,Intel FY2025 Form 10-K / Q1 FY26 results,https://www.intc.com/filings-reports/all-sec-filings,"Discloses Foundry external revenue, operating losses, product segment revenue and advanced packaging/foundry strategy."
Micron HBM and data-center memory economics,Micron FY26 quarterly results / investor materials,https://investors.micron.com/news-releases/news-release-details/micron-technology-inc-reports-results-second-quarter-fiscal-2026,"Discloses revenue, gross margin, operating cash flow, business-unit mix and HBM/data-center demand."
SK hynix AI memory economics,SK hynix Q1 FY26 results via PRNewswire,https://www.prnewswire.com/news-releases/sk-hynix-reports-q1-fy2026-results-302450176.html,"Discloses record revenue/profit, HBM/server DRAM/eSSD demand, cash/debt and AI memory investment plans."
Samsung HBM/foundry AI linkage,Samsung Q1 2026 results,https://news.samsung.com/global/samsung-electronics-announces-first-quarter-2026-results,"Discloses Memory record revenue/profit, HBM4/SOCAMM2 for NVIDIA Vera Rubin and Foundry HPC design wins."
Broadcom AI custom silicon and networking,Broadcom FY2025 Form 10-K / FY26 earnings,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000102/avgo-20251102.htm,"Discloses custom accelerators/XPUs, Ethernet/networking products, TSMC/ASE/Foxconn/Amkor/SPIL manufacturing chain and AI revenue growth."
ETF crowding/discovery adjustment,SMH holdings snapshots,https://www.morningstar.com/etfs/xnas/smh/portfolio,Used to penalize mega-cap and very visible names in the alpha score.
KYEC public test-services provider,King Yuan Electronics investor relations,https://www.kyec.com.tw/en/Ir/Quarterly,Public Taiwan OSAT/test-services company included as AMD-disclosed ATMP partner.
Tongfu public OSAT provider,Tongfu Microelectronics investor relations,https://en.tfme.com/news/7/,Public China OSAT company included as AMD-disclosed ATMP JV partner.
