relationship_source_id,relationship_target_id,relationship_source_ticker,relationship_target_ticker,relationship_source_name,relationship_target_name,relationship_type,relationship_item,relationship_cash_flow,relationship_cash_flow_status,relationship_revenue_stream_direction,relationship_evidence,relationship_disclosure,relationship_disclosure_caveat,relationship_source_ref,relationship_source_ids,relationship_source_titles,relationship_source_urls,relationship_source_notes,relationship_strength,relationship_strength_label,relationship_reasoning,source_company_direct_connection_count,source_company_depth5_reachable_count_excluding_self,target_company_direct_connection_count,target_company_depth5_reachable_count_excluding_self,generated_from_report_date,method_note
NVDA,LITE,NVDA,LITE,NVIDIA,Lumentum,uses / buys from / depends on,advanced laser components for next-gen AI optics,NVIDIA -> Lumentum: $2B equity investment plus multibillion purchase commitment and future capacity access rights.,Dollar amount mentioned in public/disclosed edge text,"Generally source/customer demand -> target/supplier revenue for 'advanced laser components for next-gen AI optics', unless noted in cash-flow text.",specific public,Specific public,Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.,NVIDIA-Lumentum 2026,S03,NVIDIA-Lumentum strategic partnership,https://nvidianews.nvidia.com/news/nvidia-announces-strategic-partnership-with-lumentum-to-develop-state-of-the-art-optics-technology,$2B investment plus multibillion purchase commitment/capacity rights.,1.0,very_high,"NVIDIA -> Lumentum: uses / buys from / depends on for advanced laser components for next-gen AI optics. Cash-flow read: NVIDIA -> Lumentum: $2B equity investment plus multibillion purchase commitment and future capacity access rights. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Photonics/optical components' has alpha 77/100 and CPO exposure 5/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
NVDA,COHR,NVDA,COHR,NVIDIA,Coherent,uses / buys from / depends on,advanced laser and optical networking products,NVIDIA -> Coherent: $2B equity investment plus multibillion-dollar purchase commitment and future access/capacity rights.,Dollar amount mentioned in public/disclosed edge text,"Generally source/customer demand -> target/supplier revenue for 'advanced laser and optical networking products', unless noted in cash-flow text.",specific public,Specific public,Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.,NVIDIA-Coherent 2026,S04,NVIDIA-Coherent strategic partnership,https://nvidianews.nvidia.com/news/nvidia-and-coherent-announce-strategic-partnership-to-develop-optics-technology-to-scale-next-generation-data-center-architecture,$2B investment plus multibillion purchase commitment/capacity rights.,1.0,very_high,"NVIDIA -> Coherent: uses / buys from / depends on for advanced laser and optical networking products. Cash-flow read: NVIDIA -> Coherent: $2B equity investment plus multibillion-dollar purchase commitment and future access/capacity rights. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Photonics/optical components' has alpha 76/100 and CPO exposure 5/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
NVDA,TSM,NVDA,TSM / 2330.TW,NVIDIA,TSMC,uses / buys from / depends on,silicon photonics manufacturing and TSMC-SoIC 3D stacking collaboration,NVIDIA -> TSMC ecosystem: manufacturing/package spend; precise pairwise CPO dollars undisclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'silicon photonics manufacturing and TSMC-SoIC 3D stacking collaboration', unless noted in cash-flow text.",specific public,Specific public,Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.,NVIDIA Spectrum-X Photonics 2025,S01,NVIDIA Spectrum-X/Quantum-X Photonics CPO switches,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/,"1.6T per port, ecosystem names, TSMC/Coherent/Corning/Foxconn/Lumentum/SENKO.",0.95,very_high,"NVIDIA -> TSMC: uses / buys from / depends on for silicon photonics manufacturing and TSMC-SoIC 3D stacking collaboration. Cash-flow read: NVIDIA -> TSMC ecosystem: manufacturing/package spend; precise pairwise CPO dollars undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Foundry' has alpha 61/100 and CPO exposure 4/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
NVDA,ASX,NVDA,ASX / 3711.TW,NVIDIA,ASE Technology,uses / buys from / depends on,SPIL/ASE packaging and test ecosystem for photonics,NVIDIA ecosystem -> ASE/SPIL: advanced packaging/test spend; exact dollars undisclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'SPIL/ASE packaging and test ecosystem for photonics', unless noted in cash-flow text.",specific public ecosystem,Specific public,Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.,NVIDIA Spectrum-X Photonics 2025,S01,NVIDIA Spectrum-X/Quantum-X Photonics CPO switches,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/,"1.6T per port, ecosystem names, TSMC/Coherent/Corning/Foxconn/Lumentum/SENKO.",0.85,high,"NVIDIA -> ASE Technology: uses / buys from / depends on for SPIL/ASE packaging and test ecosystem for photonics. Cash-flow read: NVIDIA ecosystem -> ASE/SPIL: advanced packaging/test spend; exact dollars undisclosed. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'OSAT/Packaging' has alpha 50/100 and CPO exposure 3/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
NVDA,MRVL,NVDA,MRVL,NVIDIA,Marvell Technology,uses / buys from / depends on,NVLink Fusion/custom networking ecosystem adjacency,NVIDIA/Marvell ecosystem collaboration; disclosed investment reports separate; pairwise product dollars not fully disclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'NVLink Fusion/custom networking ecosystem adjacency', unless noted in cash-flow text.",public ecosystem,Public ecosystem,Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.,NVIDIA/Marvell 2026 ecosystem,S01; S07,NVIDIA Spectrum-X/Quantum-X Photonics CPO switches; Marvell CPO architecture for custom AI accelerators,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/; https://jp.marvell.com/company/newsroom/marvell-co-packaged-optics-architecture-custom-ai-accelerators.html,"1.6T per port, ecosystem names, TSMC/Coherent/Corning/Foxconn/Lumentum/SENKO.; CPO custom XPU architecture, 6.4T 3D SiPho engine, custom XPU density and 10B field hours claim.",0.75,high,"NVIDIA -> Marvell Technology: uses / buys from / depends on for NVLink Fusion/custom networking ecosystem adjacency. Cash-flow read: NVIDIA/Marvell ecosystem collaboration; disclosed investment reports separate; pairwise product dollars not fully disclosed. Evidence/disclosure: Public ecosystem; Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.. Target company role 'Optical DSP/custom silicon' has alpha 63/100 and CPO exposure 5/5. Source role 'AI accelerator/platform' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
AVGO,AMKR,AVGO,AMKR,Broadcom,Amkor Technology,uses / buys from / depends on,OSAT process and scalable CPO manufacturing ecosystem,Broadcom -> OSAT partners: assembly/test spend; exact partner dollars undisclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'OSAT process and scalable CPO manufacturing ecosystem', unless noted in cash-flow text.",specific public CPO production theme,Public value-chain,Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.,Broadcom CPO 2025,S02,Broadcom third-generation 200G/lane CPO release,https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo,"200G/lane CPO, first volume-production 100G/lane CPO, partner milestones including Twinstar high-density fiber cables.",0.75,high,"Broadcom -> Amkor Technology: uses / buys from / depends on for OSAT process and scalable CPO manufacturing ecosystem. Cash-flow read: Broadcom -> OSAT partners: assembly/test spend; exact partner dollars undisclosed. Evidence/disclosure: Public value-chain; Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.. Target company role 'OSAT/Packaging' has alpha 65/100 and CPO exposure 3/5. Source role 'Switch ASIC/networking' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
AVGO,TSM,AVGO,TSM / 2330.TW,Broadcom,TSMC,uses / buys from / depends on,advanced switch ASIC and optical engine wafer supply,Broadcom -> foundry ecosystem: wafer spend; exact CPO dollars undisclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'advanced switch ASIC and optical engine wafer supply', unless noted in cash-flow text.",public value-chain,Public value-chain,Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.,Broadcom/semiconductor value chain,S02,Broadcom third-generation 200G/lane CPO release,https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo,"200G/lane CPO, first volume-production 100G/lane CPO, partner milestones including Twinstar high-density fiber cables.",0.75,high,"Broadcom -> TSMC: uses / buys from / depends on for advanced switch ASIC and optical engine wafer supply. Cash-flow read: Broadcom -> foundry ecosystem: wafer spend; exact CPO dollars undisclosed. Evidence/disclosure: Public value-chain; Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.. Target company role 'Foundry' has alpha 61/100 and CPO exposure 4/5. Source role 'Switch ASIC/networking' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
MRVL,TSM,MRVL,TSM / 2330.TW,Marvell Technology,TSMC,uses / buys from / depends on,custom AI ASIC and silicon photonics manufacturing,Marvell -> foundry ecosystem: wafer/package spend; exact customer dollars undisclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'custom AI ASIC and silicon photonics manufacturing', unless noted in cash-flow text.",public value-chain,Public value-chain,Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.,Marvell CPO/custom XPU 2025,S07,Marvell CPO architecture for custom AI accelerators,https://jp.marvell.com/company/newsroom/marvell-co-packaged-optics-architecture-custom-ai-accelerators.html,"CPO custom XPU architecture, 6.4T 3D SiPho engine, custom XPU density and 10B field hours claim.",0.8,high,"Marvell Technology -> TSMC: uses / buys from / depends on for custom AI ASIC and silicon photonics manufacturing. Cash-flow read: Marvell -> foundry ecosystem: wafer/package spend; exact customer dollars undisclosed. Evidence/disclosure: Public value-chain; Public value-chain relationship; generally not a disclosed customer/supplier dollar pair.. Target company role 'Foundry' has alpha 61/100 and CPO exposure 4/5. Source role 'Optical DSP/custom silicon' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
MRVL,LITE,MRVL,LITE,Marvell Technology,Lumentum,uses / buys from / depends on,optical circuit switch and silicon photonics ecosystem,Marvell/Lumentum product demonstration and customer ecosystem; exact commercial dollar flow undisclosed.,No pairwise dollars disclosed,"Generally source/customer demand -> target/supplier revenue for 'optical circuit switch and silicon photonics ecosystem', unless noted in cash-flow text.",public product demo,Public ecosystem,Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.,Marvell 2026 ecosystem,S08,Marvell 1.6T silicon photonics light engine,https://www.marvell.com/company/newsroom/marvell-demonstrates-silicon-photonics-light-engine-for-low-power-rack-scale-interconnect-in-ai-networks.html,1.6T light engine and 6.4T CPO light engine family.,0.65,medium,"Marvell Technology -> Lumentum: uses / buys from / depends on for optical circuit switch and silicon photonics ecosystem. Cash-flow read: Marvell/Lumentum product demonstration and customer ecosystem; exact commercial dollar flow undisclosed. Evidence/disclosure: Public ecosystem; Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.. Target company role 'Photonics/optical components' has alpha 77/100 and CPO exposure 5/5. Source role 'Optical DSP/custom silicon' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
CRDO,POET,CRDO,POET,Credo Technology,POET Technologies,uses / buys from / depends on,optical interposer/PIC ecosystem adjacency for CPO,Potential supplier/customer path; no confirmed pairwise purchase amount in this map.,No relationship-specific cash-flow value; value-chain inference only,"Generally source/customer demand -> target/supplier revenue for 'optical interposer/PIC ecosystem adjacency for CPO', unless noted in cash-flow text.",inferred adjacency,Inferred adjacency,Inferred adjacency based on semiconductor role overlap; not a verified pairwise customer/supplier disclosure.,CPO optical engine stack,S01; S02; S08,NVIDIA Spectrum-X/Quantum-X Photonics CPO switches; Broadcom third-generation 200G/lane CPO release; Marvell 1.6T silicon photonics light engine,https://nvidianews.nvidia.com/news/nvidia-spectrum-x-co-packaged-optics-networking-switches-ai-factories/; https://investors.broadcom.com/news-releases/news-release-details/broadcom-announces-third-generation-co-packaged-optics-cpo; https://www.marvell.com/company/newsroom/marvell-demonstrates-silicon-photonics-light-engine-for-low-power-rack-scale-interconnect-in-ai-networks.html,"1.6T per port, ecosystem names, TSMC/Coherent/Corning/Foxconn/Lumentum/SENKO.; 200G/lane CPO, first volume-production 100G/lane CPO, partner milestones including Twinstar high-density fiber cables.; 1.6T light engine and 6.4T CPO light engine family.",0.55,low_inferred,"Credo Technology -> POET Technologies: uses / buys from / depends on for optical interposer/PIC ecosystem adjacency for CPO. Cash-flow read: Potential supplier/customer path; no confirmed pairwise purchase amount in this map. Evidence/disclosure: Inferred adjacency; Inferred adjacency based on semiconductor role overlap; not a verified pairwise customer/supplier disclosure.. Target company role 'Photonics/optical engines' has alpha 66/100 and CPO exposure 5/5. Source role 'Connectivity/SerDes/AEC' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes.",20,99,20,99,2026-05-03,Relationship map from the HTML report. Specific/public/inferred labels must be interpreted literally; most pairwise semiconductor revenue is not publicly disclosed.
